英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,Full_Career_English,国籍,SNS_Instagram,SNS_Twitter,SNS_Facebook,選手名_カタカナ,リーグ
Eamon DOYLE,Eamon DOYLE,LO,Waratahs,198.0,112.0,2005..,,,,,A,0,https://all.rugby/player/eamon-doyle,,New South Wales Waratahs (2023 - ),,,https://all.rugby/player/eamon-doyle,ワラターズ (2023 - ),New South Wales Waratahs (2023 - ),,,,,エイモン・ドイル,
Éanna MCCARTHY,MCCARTHY,Back row,Connacht,193.0,112.0,2005..,,,,,A,,https://all.rugby/player/eanna-mccarthy,,Connacht Rugby (2024 - 2026),,,https://all.rugby/player/eanna-mccarthy,Connacht Rugby (2024 - 2026),,,,,,MCCARTHY,urc
Eben ETZEBETH,エベン ・ エツベス,LO,Sharks,202.0,126.0,1991.10.29,,,,,A,,https://all.rugby/player/eben-etzebeth,,Stormers (2014 - 2019) -> Rugby Club Toulonnais (2019 - 2022) -> Sharks (2022 - 2026),South Africa,South Africa,https://all.rugby/player/eben-etzebeth,Stormers (2014 - 2019) -> Rugby Club Toulonnais (2019 - 2022) -> Sharks (2022 - 2026),,,,,,エベン ・ エツベス,urc
Ed BYRNE,Ed ・ BYRNE,PR,Cardiff,180.0,115.0,1993.09.09,,,,,A,,https://all.rugby/player/ed-byrne,,Leinster Rugby (2013 - 2024) -> Cardiff Rugby (2024 - 2026),Ireland,Ireland,https://all.rugby/player/ed-byrne,Leinster Rugby (2013 - 2024) -> Cardiff Rugby (2024 - 2026),,,,,,Ed ・ BYRNE,urc
Eddie DAVIDS,Eddie ・ DAVIDS,PR,Lions,178.0,115.0,1998.04.02,,,,,A,,https://all.rugby/player/eddie-davids,,Griquas (2021 - 2025) -> Lions Rugby (2025 - 2026),,,https://all.rugby/player/eddie-davids,Griquas (2021 - 2025) -> Lions Rugby (2025 - 2026),,,,,,Eddie ・ DAVIDS,urc
Eddie JAMES,Eddie ・ ジェームズ,CTB,Scarlets,193.0,104.0,2002.08.10,,,,,A,,https://all.rugby/player/eddie-james,,Scarlets (2020 - 2026),,,https://all.rugby/player/eddie-james,Scarlets (2020 - 2026),,,,,,Eddie ・ ジェームズ,urc
Edoardo IACHIZZI,Edoardo IACHIZZI,FL/NO8,ヴァンヌ,196,112,1998.05.26,,,,Lazio (2015 - 2016) -> Union Sportive Arlequins Perpignanais (2016 - 2020) -> Rugby Club Vannes (2020 - 2023) -> Benetton Rugby Trévise (2023 - 2025) -> Rugby Club Vannes (2025 - 2026),A,0,https://all.rugby/player/edoardo-iachizzi,,Lazio (2015 - 2016) -> Union Sportive Arlequins Perpignanais (2016 - 2020) -> Rugby Club Vannes (2020 - 2023) -> Benetton Rugby Trévise (2023 - 2025) -> Rugby Club Vannes (2025 - 2026),,,https://all.rugby/player/edoardo-iachizzi,Lazio (2015 - 2016) -> Union Sportive Arlequins Perpignanais (2016 - 2020) -> Rugby Club Vannes (2020 - 2023) -> Benetton Rugby Trévise (2023 - 2025) -> Rugby Club Vannes (2025 - 2026),Lazio (2015 - 2016) -> Union Sportive Arlequins Perpignanais (2016 - 2020) -> Rugby Club Vannes (2020 - 2026) -> Benetton Rugby Trévise (2023 - ),Italian,https://www.instagram.com/allrugbycom/,https://x.com/AllRugbyCom,https://www.facebook.com/allrugbycom/,エドアルド・イアキッツィ,top14
Édouard-Junior JABEA NJOCKE,Édouard-Junior JABEA NJOCKE,PR,ラシン92,180,118,//2006,,,,Sainte-Geneviève Sports Rugby (2012 - 2014) -> Rugby Club Massy Essonne (2016 - 2024) -> Racing 92 (2024 - 2026),A,0,https://all.rugby/player/edouard-junior-jabea-njocke,,Sainte-Geneviève Sports Rugby (2012 - 2014) -> Rugby Club Massy Essonne (2016 - 2024) -> Racing 92 (2024 - 2026),,,https://all.rugby/player/edouard-junior-jabea-njocke,Sainte-Geneviève Sports Rugby (2012 - 2014) -> Rugby Club Massy Essonne (2016 - 2024) -> Racing 92 (2024 - 2026),Sainte-Geneviève Sports Rugby (2012 - 2014) -> Rugby Club Massy Essonne (2016 - 2024) -> Racing 92 (2024 - ),,,,,エドゥアール＝ジュニア-ジャベア・ニョッケ,top14
Eduan KEYTER,Eduan ・ KEYTER,Winger,Lions,184.0,101.0,1996.06.13,,,,,A,,https://all.rugby/player/eduan-keyter,,Griquas (2018 - 2021) -> Natal Sharks (2021 - 2022) -> Sharks (2022 - 2025) -> Lions Rugby (2025 - 2026),,,https://all.rugby/player/eduan-keyter,Griquas (2018 - 2021) -> Natal Sharks (2021 - 2022) -> Sharks (2022 - 2025) -> Lions Rugby (2025 - 2026),,,,,,Eduan ・ KEYTER,urc
Eduan SWART,Eduan ・ SWART,PR,Sharks,186.0,115.0,2000.10.20,,,,,A,,https://all.rugby/player/eduan-swart,,Pumas (2020 - 2023) -> Scarlets (2023 - 2024) -> Pumas (2024 - 2025) -> Sharks (2025 - 2026),,,https://all.rugby/player/eduan-swart,Pumas (2020 - 2023) -> Scarlets (2023 - 2024) -> Pumas (2024 - 2025) -> Sharks (2025 - 2026),,,,,,Eduan ・ SWART,urc
Edwill VAN DER MERWE,Edwill ・ ファン ・ デル ・ MERWE,Winger,Sharks,181.0,90.0,1996.04.12,,,,,A,,https://all.rugby/player/edwill-van-der-merwe,,Stormers (2018 - 2021) -> Lions Rugby (2021 - 2021) -> Stormers (2022 - 2022) -> Lions Rugby (2022 - 2025) -> Sharks (2025 - 2026),,,https://all.rugby/player/edwill-van-der-merwe,Stormers (2018 - 2021) -> Lions Rugby (2021 - 2021) -> Stormers (2022 - 2022) -> Lions Rugby (2022 - 2025) -> Sharks (2025 - 2026),,,,,,Edwill ・ ファン ・ デル ・ MERWE,urc
Edwin EDOGBO,Edwin ・ EDOGBO,LO,Munster,196.0,127.0,2002.12.21,,,,,A,,https://all.rugby/player/edwin-edogbo,,Munster Rugby (2022 - 2026),Ireland,Ireland,https://all.rugby/player/edwin-edogbo,Munster Rugby (2022 - 2026),,,,,,Edwin ・ EDOGBO,urc
Efan DANIEL,Efan ・ ダニエル,HO,Ospreys,185.0,109.0,2002.12.14,,,,,A,,https://all.rugby/player/efan-daniel,,Cardiff Rugby (2020 - 2025) -> Ospreys (2025 - 2026),,,https://all.rugby/player/efan-daniel,Cardiff Rugby (2020 - 2025) -> Ospreys (2025 - 2026),,,,,,Efan ・ ダニエル,urc
Efraín ELÍAS,Efraín ELÍAS,LO,トゥールーズ,200,119,//2004,,,,Jockey Club Cordoba  (2022 - 2022) -> Dogos XV (2022 - 2022) -> Jockey Club Cordoba  (2023 - 2023) -> Dogos XV (2023 - 2023) -> Jockey Club Cordoba  (2023 - 2023) -> Dogos XV (2023 - 2023) -> Jockey Club Cordoba  (2024 - 2024) -> Dogos XV (2024 - 2024) -> Stade Toulousain (2024 - 2026),A,0,https://all.rugby/player/efrain-elias,,Jockey Club Cordoba  (2022 - 2022) -> Dogos XV (2022 - 2022) -> Jockey Club Cordoba  (2023 - 2023) -> Dogos XV (2023 - 2023) -> Jockey Club Cordoba  (2023 - 2023) -> Dogos XV (2023 - 2023) -> Jockey Club Cordoba  (2024 - 2024) -> Dogos XV (2024 - 2024) -> Stade Toulousain (2024 - 2026),,,https://all.rugby/player/efrain-elias,Jockey Club Cordoba  (2022 - 2022) -> Dogos XV (2022 - 2022) -> Jockey Club Cordoba  (2023 - 2023) -> Dogos XV (2023 - 2023) -> Jockey Club Cordoba  (2023 - 2023) -> Dogos XV (2023 - 2023) -> Jockey Club Cordoba  (2024 - 2024) -> Dogos XV (2024 - 2024) -> Stade Toulousain (2024 - 2026),Dogos XV (2022 - 2024) -> Jockey Club Cordoba (2022 - 2024) -> Stade Toulousain (2024 - ),Argentina,https://www.instagram.com/stadetoulousainrugby/,https://twitter.com/StadeToulousain?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/StadeToulousainOfficiel/,エフライン・エリアス,top14
Eli LANGI,Eli LANGI,FL/No8,Brumbies,193.0,104.0,2006..,,,,,A,0,https://all.rugby/player/eli-langi,,Brumbies (2024 - ),,,https://all.rugby/player/eli-langi,ブランビーズ (2024 - ),Brumbies (2024 - ),,,,,イーライ・ランギ,
Eli SNYMAN,Eli ・ スナイマン,LO,Trévise,200.0,119.0,1996.01.25,,,,,A,,https://all.rugby/player/eli-snyman,,Bulls (2018 - 2019) -> Benetton Rugby Trévise (2019 - 2021) -> Leicester Tigers (2021 - 2023) -> Benetton Rugby Trévise (2023 - 2026),,,https://all.rugby/player/eli-snyman,Bulls (2018 - 2019) -> Benetton Rugby Trévise (2019 - 2021) -> Leicester Tigers (2021 - 2023) -> Benetton Rugby Trévise (2023 - 2026),,,,,,Eli ・ スナイマン,urc
Elia CANAKAIVATA,Elia CANAKAIVATA,FL/No8,Fijian Drua,185.0,104.0,1996.07.12,,,,,A,0,https://all.rugby/player/elia-canakaivata,,FIDJI 7's (2021 - 2022) -> Fijian Drua (2022 - ),,,https://all.rugby/player/elia-canakaivata,FIDJI 7's (2021 - 2022) -> フィジアン・ドゥルア (2022 - ),FIDJI 7's (2021 - 2022) -> Fijian Drua (2022 - ),,,,,エリア-ジャナカイヴァタ,
Elijah EVANS,Elijah ・ EVANS,CTB,Cardiff,190.0,94.0,2005..,,,,,A,,https://all.rugby/player/elijah-evans,,Cardiff Rugby (2023 - 2026),,,https://all.rugby/player/elijah-evans,Cardiff Rugby (2023 - 2026),,,,,,Elijah ・ EVANS,urc
Elis PRICE,Elis ・ PRICE,CTB,Scarlets,193.0,89.0,2005..,,,,,A,,https://all.rugby/player/elis-price,,Scarlets (2023 - 2026),,,https://all.rugby/player/elis-price,Scarlets (2023 - 2026),,,,,,Elis ・ PRICE,urc
Elliot DEE,Elliot ・ DEE,HO,Dragons,186.0,106.0,1994.03.07,,,,,A,,https://all.rugby/player/elliot-dee,,Dragons RFC (2013 - 2026),Wales,Wales,https://all.rugby/player/elliot-dee,Dragons RFC (2013 - 2026),,,,,,Elliot ・ DEE,urc
Eliott ROUDIL,Eliott ROUDIL,CTB,ヴァンヌ,184,97,1996.10.30,,,,Stade Nantais (2004 - 2013) -> Stade Rochelais (2013 - 2020) -> Section Paloise Béarn Pyrénées (2020 - 2025) -> Rugby Club Vannes (2025 - 2026),A,0,https://all.rugby/player/elliot-roudil,,Stade Nantais (2004 - 2013) -> Stade Rochelais (2013 - 2020) -> Section Paloise Béarn Pyrénées (2020 - 2025) -> Rugby Club Vannes (2025 - 2026),,,https://all.rugby/player/elliot-roudil,Stade Nantais (2004 - 2013) -> Stade Rochelais (2013 - 2020) -> Section Paloise Béarn Pyrénées (2020 - 2025) -> Rugby Club Vannes (2025 - 2026),Stade Nantais (2004 - 2013) -> Stade Rochelais (2013 - 2020) -> Section Paloise Béarn Pyrénées (2020 - 2025) -> Rugby Club Vannes (2025 - ),French,https://www.instagram.com/allrugbycom/,https://x.com/AllRugbyCom,https://www.facebook.com/allrugbycom/,エリオット・ルディル,top14
Ellis MEE,Ellis ・ MEE,Winger,Scarlets,193.0,92.0,2003.10.06,,,,,A,,https://all.rugby/player/ellis-mee,,Nottingham Rugby (2023 - 2024) -> Scarlets (2024 - 2026),,,https://all.rugby/player/ellis-mee,Nottingham Rugby (2023 - 2024) -> Scarlets (2024 - 2026),,,,,,Ellis ・ MEE,urc
Elrigh LOUW,Elrigh ・ LOUW,Back row,Bulls,195.0,112.0,1999.09.20,,,,,A,,https://all.rugby/player/elrigh-louw,,Southern Kings (2019 - 2019) -> Bulls (2019 - 2019) -> Southern Kings (2020 - 2020) -> Bulls (2020 - 2026),South Africa,South Africa,https://all.rugby/player/elrigh-louw,Southern Kings (2019 - 2019) -> Bulls (2019 - 2019) -> Southern Kings (2020 - 2020) -> Bulls (2020 - 2026),,,,,,Elrigh ・ LOUW,urc
Embrose PAPIER,Embrose ・ PAPIER,SH,Bulls,171.0,80.0,1997.04.25,,,,,A,,https://all.rugby/player/embrose-papier,,Bulls (2017 - 2019) -> Sale Sharks (2019 - 2019) -> Bulls (2019 - 2019) -> Sale Sharks (2020 - 2020) -> Bulls (2020 - 2026),South Africa,South Africa,https://all.rugby/player/embrose-papier,Bulls (2017 - 2019) -> Sale Sharks (2019 - 2019) -> Bulls (2019 - 2019) -> Sale Sharks (2020 - 2020) -> Bulls (2020 - 2026),,,,,,Embrose ・ PAPIER,urc
Emerick SETIANO,Emerick SETIANO,PR,バイヨンヌ,183,115,1996.07.19,,,,SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - 2026),A,0,https://all.rugby/player/emerick-setiano,,SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - 2026),France,France,https://all.rugby/player/emerick-setiano,SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - 2026),SCO RC Angers (2002 - 2011) -> Pôle Espoirs de Tours (2011 - 2014) -> Rugby Club Toulonnais (2014 - 2025) -> Aviron Bayonnais (2025 - ),,,,,エメリック・セティアーノ,top14
Emile VAN HEERDEN,Emile ・ ファン ・ HEERDEN,LO,Sharks,200.0,110.0,2000.08.08,,,,,A,,https://all.rugby/player/emile-van-heerden,,Sharks (2019 - 2021) -> Natal Sharks (2021 - 2022) -> Lions Rugby (2022 - 2022) -> Sharks (2022 - 2022) -> Lions Rugby (2023 - 2023) -> Sharks (2023 - 2026),,,https://all.rugby/player/emile-van-heerden,Sharks (2019 - 2021) -> Natal Sharks (2021 - 2022) -> Lions Rugby (2022 - 2022) -> Sharks (2022 - 2022) -> Lions Rugby (2023 - 2023) -> Sharks (2023 - 2026),,,,,,Emile ・ ファン ・ HEERDEN,urc
Émilien GAILLETON,Émilien GAILLETON,CTB,ポー,185,89,2003.07.13,,,,Cahors (2008 - 2017) -> Sporting Union Agenais (2017 - 2022) -> Section Paloise Béarn Pyrénées (2022 - 2026),A,0,https://all.rugby/player/emilien-gailleton,,Cahors (2008 - 2017) -> Sporting Union Agenais (2017 - 2022) -> Section Paloise Béarn Pyrénées (2022 - 2026),France,France,https://all.rugby/player/emilien-gailleton,Cahors (2008 - 2017) -> Sporting Union Agenais (2017 - 2022) -> Section Paloise Béarn Pyrénées (2022 - 2026),Cahors (2008 - 2017) -> Sporting Union Agenais (2017 - 2022) -> Section Paloise Béarn Pyrénées (2022 - ),,,,,エミリオン・ガイユトン,top14
Emmanuel MEAFOU,Emmanuel MEAFOU,LO,トゥールーズ,202,142,1998.07.12,,,,New South Wales Country Eagles (2017 - 2018) -> Stade Toulousain (2018 - 2026),A,0,https://all.rugby/player/emmanuel-meafou,,New South Wales Country Eagles (2017 - 2018) -> Stade Toulousain (2018 - 2026),Australia,Australia,https://all.rugby/player/emmanuel-meafou,New South Wales Country Eagles (2017 - 2018) -> Stade Toulousain (2018 - 2026),New South Wales Country Eagles (2017 - 2018) -> Stade Toulousain (2018 - ),,https://www.instagram.com/emmanuel.meafou/,https://twitter.com/StadeToulousain?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/StadeToulousainOfficiel/,エマニュエル-メアフー,top14
Manu TSHITUKA,Manu ・ TSHITUKA,Back row,Sharks,193.0,110.0,2000.06.16,,,,,A,,https://all.rugby/player/emmanuel-tshituka,,Lions Rugby (2020 - 2024) -> Sharks (2024 - 2026),,,https://all.rugby/player/emmanuel-tshituka,Lions Rugby (2020 - 2024) -> Sharks (2024 - 2026),,,,,,Manu ・ TSHITUKA,urc
Emmett CALVEY,Emmett ・ CALVEY,PR,Munster,,,2005..,,,,,A,,https://all.rugby/player/emmett-calvey,,Shannon RFC (2023 - 2025) -> Munster Rugby (2025 - 2026),,,https://all.rugby/player/emmett-calvey,Shannon RFC (2023 - 2025) -> Munster Rugby (2025 - 2026),,,,,,Emmett ・ CALVEY,urc
Emoni NARAWA,Emoni NARAWA,WTB,Chiefs,184.0,98.0,1999.07.13,,,,,A,0,https://all.rugby/player/emoni-narawa,,Bay of Plenty Steamers (2018 - 2025) -> Blues (2019 - 2021) -> Chiefs (2021 - ),,,https://all.rugby/player/emoni-narawa,ベイ・オブ・プレンティ (2018 - 2025) -> ブルーズ (2019 - 2021) -> チーフス (2021 - ),Bay of Plenty Steamers (2018 - 2025) -> Blues (2019 - 2021) -> Chiefs (2021 - ),,,,,エモニ-ナラワ,
Emosi TUQIRI,Emosi TUQIRI,PR,Fijian Drua,194.0,120.0,2000.12.28,,,,,A,0,https://all.rugby/player/emosi-tuqiri,,GPS Rugby Club (2019 - 2022) -> Fijian Drua (2022 - 2026) -> Counties Manukau Steelers (2024 - ),,,https://all.rugby/player/emosi-tuqiri,GPS Rugby Club (2019 - 2022) -> フィジアン・ドゥルア (2022 - 2026) -> カウンティーズ・マヌカウ (2024 - ),GPS Rugby Club (2019 - 2022) -> Fijian Drua (2022 - 2026) -> Counties Manukau Steelers (2024 - ),,,,,エモシ・ツイギリ,
Enrico LUCCHIN,Enrico ・ LUCCHIN,CTB,Zebre,188.0,103.0,1995.04.04,,,,,A,,https://all.rugby/player/enrico-lucchin,,Zebre Parma (2019 - 2026),Italy,Italy,https://all.rugby/player/enrico-lucchin,Zebre Parma (2019 - 2026),,,,,,Enrico ・ LUCCHIN,urc
Enrique PIERETTO HEILAND,Enrique ・ PIERETTO ・ HEILAND,PR,Zebre,187.0,122.0,1994.12.15,,,,,A,,https://all.rugby/player/enrique-pieretto-heiland,,Jaguares (2015 - 2019) -> Exeter Chiefs (2019 - 2019) -> Glasgow Warriors (2019 - 2019) -> Exeter Chiefs (2020 - 2020) -> Glasgow Warriors (2020 - 2023) -> New South Wales Waratahs (2023 - 2023) -> Glasgow Warriors (2024 - 2024) -> New South Wales Waratahs (2024 - 2024) -> Provence Rugby (2024 - 2025) -> Zebre Parma (2025 - 2026),Argentina,Argentina,https://all.rugby/player/enrique-pieretto-heiland,Jaguares (2015 - 2019) -> Exeter Chiefs (2019 - 2019) -> Glasgow Warriors (2019 - 2019) -> Exeter Chiefs (2020 - 2020) -> Glasgow Warriors (2020 - 2023) -> New South Wales Waratahs (2023 - 2023) -> Glasgow Warriors (2024 - 2024) -> New South Wales Waratahs (2024 - 2024) -> Provence Rugby (2024 - 2025) -> Zebre Parma (2025 - 2026),,,,,,Enrique ・ PIERETTO ・ HEILAND,urc
Enzo BENMEGAL,Enzo BENMEGAL,WTB,ヴァンヌ,179,81,2003.10.28,,,,Union Rugby Centre 78 (2011 - 2014) -> Racing 92 (2014 - 2023) -> Rugby Club Vannes (2023 - 2023) -> Racing 92 (2024 - 2024) -> Rugby Club Vannes (2024 - 2026),A,0,https://all.rugby/player/enzo-benmegal,,Union Rugby Centre 78 (2011 - 2014) -> Racing 92 (2014 - 2023) -> Rugby Club Vannes (2023 - 2023) -> Racing 92 (2024 - 2024) -> Rugby Club Vannes (2024 - 2026),,,https://all.rugby/player/enzo-benmegal,Union Rugby Centre 78 (2011 - 2014) -> Racing 92 (2014 - 2023) -> Rugby Club Vannes (2023 - 2023) -> Racing 92 (2024 - 2024) -> Rugby Club Vannes (2024 - 2026),Union Rugby Centre 78 (2011 - 2014) -> Racing 92 (2014 - 2024) -> Rugby Club Vannes (2023 - ),French,https://www.instagram.com/allrugbycom/,https://x.com/AllRugbyCom,https://www.facebook.com/allrugbycom/,エンゾ・ベンメガル,top14
Enzo FORLETTA,Enzo FORLETTA,PR,モンペリエ,175,118,1994.06.15,,,,Étoile Sportive Catalane (2009 - 2011) -> Union Sportive Arlequins Perpignanais (2011 - 2020) -> Montpellier Hérault Rugby (2020 - 2026),A,0,https://all.rugby/player/enzo-forletta,,Étoile Sportive Catalane (2009 - 2011) -> Union Sportive Arlequins Perpignanais (2011 - 2020) -> Montpellier Hérault Rugby (2020 - 2026),France,France,https://all.rugby/player/enzo-forletta,Étoile Sportive Catalane (2009 - 2011) -> Union Sportive Arlequins Perpignanais (2011 - 2020) -> Montpellier Hérault Rugby (2020 - 2026),Étoile Sportive Catalane (2009 - 2011) -> Union Sportive Arlequins Perpignanais (2011 - 2020) -> Montpellier Hérault Rugby (2020 - ),Voir,https://www.instagram.com/enzoforletta/,https://twitter.com/MHR_officiel,https://www.facebook.com/enzo.forletta,エンゾ・フォルレッタ,top14
Enzo HERVÉ,Enzo HERVÉ,SO,カストル,176,94,1998.10.13,,,,RC Buguois (2004 - 2013) -> CA Brive Corrèze Limousin (2013 - 2023) -> Rugby Club Toulonnais (2023 - 2025) -> Castres Olympique (2025 - 2025) -> Rugby Club Toulonnais (2026 - 2026) -> Castres Olympique (2026 - 2026),A,0,https://all.rugby/player/enzo-herve,,RC Buguois (2004 - 2013) -> CA Brive Corrèze Limousin (2013 - 2023) -> Rugby Club Toulonnais (2023 - 2025) -> Castres Olympique (2025 - 2025) -> Rugby Club Toulonnais (2026 - 2026) -> Castres Olympique (2026 - 2026),,,https://all.rugby/player/enzo-herve,RC Buguois (2004 - 2013) -> CA Brive Corrèze Limousin (2013 - 2023) -> Rugby Club Toulonnais (2023 - 2025) -> Castres Olympique (2025 - 2025) -> Rugby Club Toulonnais (2026 - 2026) -> Castres Olympique (2026 - 2026),RC Buguois (2004 - 2013) -> CA Brive Corrèze Limousin (2013 - 2023) -> Rugby Club Toulonnais (2023 - 2026) -> Castres Olympique (2025 - ),Français,https://www.instagram.com/castresolympique/,https://twitter.com/CastresRugby,https://www.facebook.com/CastresOlympiqueOfficiel,エンゾ・エルヴェ,top14
Eoghan SMYTH,Eoghan ・ SMYTH,CTB,Munster,183.0,96.0,2005..,,,,,A,,https://all.rugby/player/eoghan-smyth,,Cork Constitution RFC (2024 - 2025) -> Munster Rugby (2025 - 2026),,,https://all.rugby/player/eoghan-smyth,Cork Constitution RFC (2024 - 2025) -> Munster Rugby (2025 - 2026),,,,,,Eoghan ・ SMYTH,urc
Eoin DE BUITLÉAR,オーウェン ・ デ ・ BUITL ・ AR,HO,Connacht,175.0,104.0,2001.11.09,,,,,A,,https://all.rugby/player/eoin-de-buitlear,,Connacht Rugby (2020 - 2026),,,https://all.rugby/player/eoin-de-buitlear,Connacht Rugby (2020 - 2026),,,,,,オーウェン ・ デ ・ BUITL ・ AR,urc
Epeli MOMO,Epeli MOMO,WTB,Fijian Drua,184.0,84.0,1999.10.22,,,,,A,0,https://all.rugby/player/epeli-momo,,Club fidjien (2019 - 2020) -> Union Sportive Montalbanaise (2020 - 2023) -> Fijian Drua (2023 - ),,,https://all.rugby/player/epeli-momo,Club fidjien (2019 - 2020) -> Union Sportive Montalbanaise (2020 - 2023) -> フィジアン・ドゥルア (2023 - ),Club fidjien (2019 - 2020) -> Union Sportive Montalbanaise (2020 - 2023) -> Fijian Drua (2023 - ),,,,,エペリ-モモ,
Ere ENARI,Ere ENARI,SH,Hurricanes,178.0,84.0,1997.05.30,,,,,A,0,https://all.rugby/player/ereatara-enari,,Canterbury (2016 - 2020) -> Crusaders (2016 - 2021) -> Hawke's Bay Magpies (2020 - 2025) -> Moana Pasifika (2021 - 2024) -> Hurricanes (2024 - ),,,https://all.rugby/player/ereatara-enari,カンタベリー (2016 - 2020) -> クルセイダーズ (2016 - 2021) -> ホークスベイ (2020 - 2025) -> モアナ・パシフィカ (2021 - 2024) -> ハリケーンズ (2024 - ),Canterbury (2016 - 2020) -> Crusaders (2016 - 2021) -> Hawke's Bay Magpies (2020 - 2025) -> Moana Pasifika (2021 - 2024) -> Hurricanes (2024 - ),,,,,エレ-エナリ,
Eric MARKS,Eric MARKS,LO,ヴァンヌ,196,116,1996.12.09,,,,RC Aachen (2015 - 2016) -> Stade Rochelais (2016 - 2019) -> Rugby Club Vannes (2019 - 2026),A,0,https://all.rugby/player/eric-marks,,RC Aachen (2015 - 2016) -> Stade Rochelais (2016 - 2019) -> Rugby Club Vannes (2019 - 2026),Germany,Germany,https://all.rugby/player/eric-marks,RC Aachen (2015 - 2016) -> Stade Rochelais (2016 - 2019) -> Rugby Club Vannes (2019 - 2026),RC Aachen (2015 - 2016) -> Stade Rochelais (2016 - 2019) -> Rugby Club Vannes (2019 - ),German,https://www.instagram.com/allrugbycom/,https://x.com/AllRugbyCom,https://www.facebook.com/allrugbycom/,エリック・マークス,top14
Eric O'SULLIVAN,Eric ・ O'SULLIVAN,PR,Ulster,186.0,118.0,1995.11.30,,,,,A,,https://all.rugby/player/eric-o-sullivan,,Ulster Rugby (2018 - 2026),,,https://all.rugby/player/eric-o-sullivan,Ulster Rugby (2018 - 2026),,,,,,Eric ・ O'SULLIVAN,urc
Erich CRONJÉ,Erich ・ CRONJ,CTB,Lions,184.0,95.0,1997.01.01,,,,,A,,https://all.rugby/player/erich-cronje,,Southern Kings (2019 - 2019) -> Pumas (2019 - 2019) -> Southern Kings (2020 - 2020) -> Pumas (2020 - 2021) -> Zebre Parma (2021 - 2023) -> Lions Rugby (2023 - 2026),,,https://all.rugby/player/erich-cronje,Southern Kings (2019 - 2019) -> Pumas (2019 - 2019) -> Southern Kings (2020 - 2020) -> Pumas (2020 - 2021) -> Zebre Parma (2021 - 2023) -> Lions Rugby (2023 - 2026),,,,,,Erich ・ CRONJ,urc
Esteban ABADIE,Esteban ABADIE,FL/NO8,トゥーロン,188,100,1997.12.01,,,,Racing 92 (2009 - 2019) -> CA Brive Corrèze Limousin (2019 - 2023) -> Rugby Club Toulonnais (2023 - 2026),A,0,https://all.rugby/player/esteban-abadie,,Racing 92 (2009 - 2019) -> CA Brive Corrèze Limousin (2019 - 2023) -> Rugby Club Toulonnais (2023 - 2026),France,France,https://all.rugby/player/esteban-abadie,Racing 92 (2009 - 2019) -> CA Brive Corrèze Limousin (2019 - 2023) -> Rugby Club Toulonnais (2023 - 2026),Racing 92 (2009 - 2019) -> CA Brive Corrèze Limousin (2019 - 2023) -> Rugby Club Toulonnais (2023 - ),France,https://www.instagram.com/rctofficiel/#,https://x.com/RCTofficiel,https://www.facebook.com/RCTofficiel,エステバン-アバティ,top14
Esteban CAPILLA,Esteban CAPILLA,FL/NO8,バイヨンヌ,198,100,2003.01.05,,,,AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - 2026),A,0,https://all.rugby/player/esteban-capilla,,AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - 2026),,,https://all.rugby/player/esteban-capilla,AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - 2026),AS Bayonne (2010 - 2013) -> US Mouguerre (2013 - 2015) -> AS Sain-Martin-de-Seignanx (2015 - 2016) -> Aviron Bayonnais (2016 - ),,,,,エステバン・カピジャ,top14
