英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
MARINO MIKAELE-TU U,マリノ ・ミカエリトゥウ,No8,三菱重工相模原ダイナボアーズ（2025-26）,193,111,1997.11.06,28,登録区分：カテゴリB,,登録区分：カテゴリB,B,24,https://league-one.jp/player/485070,,,,,,25/26 Japan Rugby League One - Division 1 (7G/3T) -> 24/25 Japan Rugby League One - Division 1 (9G/2T) -> 23/24 Japan Rugby League One - Division 1 (13G/3T) -> 22/23 Super Rugby Pacific (10G/1T) -> 21/22 Super Rugby Pacific (12G/3T) -> 20/21 Super Rugby Aotearoa (5G) -> 19/20 Highlanders (5G) -> Super Rugby Aotearoa 3 0 5 (2G) -> 18/19 Highlanders (3G) -> 17/18 Highlanders (5G)
Tai Dowling,ダウリング タイ,SO,三菱重工相模原ダイナボアーズ（2025-26）,183,85,2003.07.06,22,Emmanuel,college,Emmanuel college Queensland university of techn,A,1,https://league-one.jp/player/485367,,,,,,24/25 Japan Rugby League One - Division 1 (1G)
Semisi Masirewa,セミシ ・マシレワ,WTB,三菱重工相模原ダイナボアーズ（2025-26）,181,95,1992.06.09,33,フィールディング,,フィールディング高校,A,29,https://league-one.jp/player/485477,,,日本代表7CAP、Test Matchs(1CAP),,,24/25 Japan Rugby League One - Division 2 (9G/3T) -> 23/24 Japan Rugby League One - Division 1 (8G/4T) -> Summer Nations Series 0 0 1  -> Rugby World Cup 1 0 1  -> 22/23 Japan Rugby League One - Division 1 (9G/5T) -> 21/22 Japan Rugby League One - Division 2 (3G/1T) -> 20/21 Test Matchs (1G) -> 18/19 Super Rugby (14G/11T) -> 17/18 Super Rugby (10G/2T) -> 16/17 Western Force (2G) -> 15/16 Western Force (15G)
Brad WEBER,ブラッド ・ウェバー,SH,三菱重工相模原ダイナボアーズ（2025-26）,172,75,1991.01.17,34,Napier,Boys',Napier Boys' High School University of Otago,C,0,https://league-one.jp/player/486457,,,,,,25/26 Japan Rugby League One - Division 1 (3G) -> 24/25 Top 14 (14G/3T) -> Champions Cup 1 0 1  -> 23/24 Top 14 (19G) -> Champions Cup 0 0 1  -> 22/23 Super Rugby Pacific (13G/3T) -> 21/22 Super Rugby Pacific (12G/5T) -> 20/21 Super Rugby Aotearoa (8G/1T) -> Super Rugby Trans-Tasman 4 0 1  -> Rugby Championship 3 0 1 (1G) -> 19/20 Super Rugby (5G/3T) -> Super Rugby Aotearoa 0 0 8  -> Tri Nations 0 0 2  -> 18/19 Super Rugby (15G/5T) -> 17/18 Super Rugby (15G/3T) -> 15/16 Super Rugby (17G/5T) -> 14/15 Super Rugby (17G) -> 13/14 Super Rugby (8G/1T)
Nesta Mahina,ネスタ ・マヒナ,PR,横浜キヤノンイーグルス（2025-26）,171,113,2000.10.28,25,ブリスベンステートハイスクール,,ブリスベンステートハイスクール,A,6,https://league-one.jp/player/484806,,,,,,23/24 Japan Rugby League One - Division 1 (5G) -> 22/23 Japan Rugby League One - Division 1 (1G)
Kaito Doichi,土一 海人,HO,横浜キヤノンイーグルス（2025-26）,176,100,1999.07.02,26,東海大相模高校,東海大学,東海大相模高校 東海大学,A,2,https://league-one.jp/player/484807,,,'17 高校,,,22/23 Japan Rugby League One - Division 2 (2G/1T)
Yu Chinen,知念 雄,PR,横浜キヤノンイーグルス（2025-26）,183,120,1990.11.18,35,那覇西高校,順天堂大学,那覇西高校 順天堂大学,A,26,https://league-one.jp/player/484808,,,'16 U23、日本代表6CAP,,,24/25 Japan Rugby League One - Division 1 (3G) -> 23/24 Japan Rugby League One - Division 1 (8G) -> 21/22 Japan Rugby League One - Division 1 (15G)
Sam Caird,サム ・ケアード,LO,横浜キヤノンイーグルス（2025-26）,202,117,1997.03.18,28,セントピーターズスクール,シドニー大学,セントピーターズスクール シドニー大学,B,3,https://league-one.jp/player/484809,,,,,,24/25 Major League Rugby (14G/3T) -> 23/24 Northland (9G/1T) -> 22/23 Japan Rugby League One - Division 1 (3G) -> 21/22 Super Rugby Pacific (4G) -> 20/21 Super Rugby AU (7G) -> Super Rugby Trans-Tasman 0 0 3  -> 19/20 Northland (12G/1T)
Dino Lamb,ディノ ・ラム,LO,横浜キヤノンイーグルス（2025-26）,198,119,1998.04.18,27,クランリースクール,,クランリースクール,C,1,https://league-one.jp/player/484810,,,,,,25/26 Japan Rugby League One - Division 1 (3G) -> 24/25 Premiership (9G) -> Champions Cup 0 0 1  -> Six Nations Championship 1 0 2  -> 23/24 Premiership (8G/4T) -> Champions Cup 1 0 1  -> Rugby World Cup 2 0 1 (1G) -> 22/23 Premiership (17G/3T) -> Champions Cup 2 0 2  -> 21/22 Premiership (12G/2T) -> Champions Cup 2 0 0  -> 20/21 Champions Cup (1G) -> Premiership 9 0 4  -> 19/20 Premiership Rugby Cup (4G) -> Premiership 4 0 6  -> Champions Cup 1 0 3  -> 18/19 Premiership (2G) -> Premiership Rugby Cup 1 0 3  -> 17/18 Premiership (5G) -> Champions Cup 0 0 4  -> Anglo Welsh Cup 3 0 0 (1G)
Daichi Akiyama,秋山 大地,LO,横浜キヤノンイーグルス（2025-26）,192,114,1996.11.14,29,つるぎ,帝京大学,つるぎ高校 帝京大学,A,51,https://league-one.jp/player/484811,,,'16 U20、'16 U23、日本代表2CAP,,,25/26 Japan Rugby League One - Division 1 (5G) -> 24/25 Japan Rugby League One - Division 1 (14G/1T) -> 23/24 Japan Rugby League One - Division 1 (9G) -> 22/23 Japan Rugby League One - Division 1 (15G/2T) -> 21/22 Japan Rugby League One - Division 1 (10G/1T)
Sione Lavemai,シオネ ・ラベマイ,FL,横浜キヤノンイーグルス（2025-26）,190,120,1994.05.08,31,セントビーズカレッジ,拓殖大学,セントビーズカレッジ 拓殖大学,A,27,https://league-one.jp/player/484812,,,日本代表1CAP,,,24/25 Japan Rugby League One - Division 1 (6G/1T) -> 23/24 Japan Rugby League One - Division 1 (9G/2T) -> 21/22 Japan Rugby League One - Division 1 (12G)
Amanaki Saumaki,サウマキ アマナキ,FL,横浜キヤノンイーグルス（2025-26）,189,110,1997.03.08,28,トゥポウカレッジ,,トゥポウカレッジ,A,59,https://league-one.jp/player/484813,,,'25 XV、日本代表5CAP,,,25/26 Japan Rugby League One - Division 1 (8G/1T) -> 24/25 Japan Rugby League One - Division 1 (17G/4T) -> 23/24 Japan Rugby League One - Division 1 (14G/8T) -> Rugby World Cup 1 0 1  -> Test Matchs 0 0 2  -> 22/23 Japan Rugby League One - Division 1 (11G/4T) -> 21/22 Japan Rugby League One - Division 1 (14G/2T)
Yuto Mori,森 勇登,UTB,横浜キヤノンイーグルス（2025-26）,174,85,1998.11.14,27,東福岡高校,明治大学,東福岡高校 明治大学,A,47,https://league-one.jp/player/484814,,,'18 U20、'18 U23、'25 XV,,,25/26 Japan Rugby League One - Division 1 (5G/1T) -> 24/25 Japan Rugby League One - Division 1 (19G/8T) -> 23/24 Japan Rugby League One - Division 1 (17G/9T) -> 22/23 Japan Rugby League One - Division 1 (6G) -> 21/22 Japan Rugby League One - Division 1 (3G)
Levi Aumua,リーバイ ・アウムア,CTB,横浜キヤノンイーグルス（2025-26）,185,107,1994.10.09,31,ブリスベングラマースクール,,ブリスベングラマースクール,B,0,https://league-one.jp/player/484815,,,,,,25/26 Japan Rugby League One - Division 1 (5G) -> 24/25 Super Rugby Pacific (9G/1T) -> 23/24 Super Rugby Pacific (11G/1T) -> 22/23 Super Rugby Pacific (13G/5T) -> 21/22 Super Rugby Pacific (9G/3T) -> 20/21 Tasman (9G/2T) -> 18/19 Super Rugby (5G) -> 17/18 Super Rugby (1G) -> 14/15 Challenge Cup (2G)
Jeandre Labuschagne,ジャンドレ ・ラブスカフニ,LO,横浜キヤノンイーグルス（2025-26）,195,106,1999.07.17,26,MaritzburgCollege,,MaritzburgCollege,B,5,https://league-one.jp/player/484816,,,United Rugby Championship(28CAP),,,25/26 Japan Rugby League One - Division 1 (6G) -> 24/25 Champions Cup (3G) -> United Rugby Championship 4 0 1  -> 23/24 United Rugby Championship (13G/1T) -> Challenge Cup 7 0 1 (1G) -> 22/23 United Rugby Championship (6G) -> Champions Cup 0 0 1  -> 21/22 United Rugby Championship (9G)
Asahi Doei,土永 旭,SH,横浜キヤノンイーグルス（2025-26）,171,76,2003.01.09,22,光泉カトリック高校,京都産業大学,光泉カトリック高校 京都産業大学,A,3,https://league-one.jp/player/484817,,,'24 XV、'25 XV,,,25/26 Japan Rugby League One - Division 1 (7G/1T) -> 24/25 Japan Rugby League One - Division 1 (1G) -> 22/23 U20 Championship (3G)
Aminiasi Shaw,アミニアシ ・ショー,FL,横浜キヤノンイーグルス（2025-26）,185,107,2000.03.13,25,マリストブラザーズ高高校,摂南大学,マリストブラザーズ高 摂南大学,A,1,https://league-one.jp/player/484818,,,,,,Not Found
Billy Harmon,ビリー ・ハーモン,FL,横浜キヤノンイーグルス（2025-26）,187,104,1994.12.23,31,StBede'sCollege,,StBede'sCollege,B,21,https://league-one.jp/player/484819,,,,,,25/26 Japan Rugby League One - Division 1 (5G/1T) -> 24/25 Japan Rugby League One - Division 1 (18G/2T) -> 23/24 Super Rugby Pacific (13G/1T) -> 22/23 Super Rugby Pacific (12G/1T) -> 21/22 Super Rugby Pacific (8G/1T) -> 20/21 Super Rugby Aotearoa (8G/1T) -> Super Rugby Trans-Tasman 5 0 1 (2G) -> 19/20 Super Rugby Aotearoa (3G) -> 18/19 Super Rugby (4G) -> 17/18 Super Rugby (5G/1T)
Brendan Owen,ブレンダン ・オーウェン,UTB,横浜キヤノンイーグルス（2025-26）,192,97,1996.09.23,29,StAndrewsCollege,UniversityofSouthAfrica(UNISA),StAndrewsCollege UniversityofSouthAfrica(UNISA),B,11,https://league-one.jp/player/484820,,,,,,24/25 Japan Rugby League One - Division 1 (11G/7T) -> 23/24 Premiership Rugby Cup (2G/1T) -> 22/23 RFU Championship (15G/8T)
Tomoki Minami,南 友紀,PR,横浜キヤノンイーグルス（2025-26）,172,96,1993.10.23,32,筑紫高校,立命館大学,筑紫高校 立命館大学,A,39,https://league-one.jp/player/484821,,,,,,25/26 Japan Rugby League One - Division 1 (6G) -> 24/25 Japan Rugby League One - Division 1 (12G/1T) -> 23/24 Japan Rugby League One - Division 2 (10G) -> Japan Rugby League One - Division 1 1 0 1  -> 22/23 Japan Rugby League One - Division 2 (2G) -> Japan Rugby League One - Division 1 0 0 2  -> 21/22 Japan Rugby League One - Division 3 (8G)
Masato Furukawa,古川 聖人,FL,横浜キヤノンイーグルス（2025-26）,179,94,1996.12.06,29,東福岡高校,立命館大学,東福岡高校 立命館大学,A,46,https://league-one.jp/player/484822,,,'16 U20、'16 U23、'25 XV、日本代表3CAP,,,25/26 Japan Rugby League One - Division 1 (6G/1T) -> 24/25 Japan Rugby League One - Division 1 (17G) -> 23/24 Japan Rugby League One - Division 1 (9G/3T) -> 22/23 Japan Rugby League One - Division 1 (7G) -> 21/22 Japan Rugby League One - Division 1 (10G/2T)
Cormac Daly,コルマック ・ダリー,LO,横浜キヤノンイーグルス（2025-26）,199,120,1998.05.01,27,ScoilUiRiadaGaelscoil,MaynoothUniversity,ScoilUiRiadaGaelscoil MaynoothUniversity,B,13,https://league-one.jp/player/484823,,,,,,25/26 Japan Rugby League One - Division 1 (5G/1T) -> 24/25 Japan Rugby League One - Division 1 (12G/2T) -> 23/24 Super Rugby Pacific (8G)
Faf De Klerk,ファフ ・デクラーク,SH,横浜キヤノンイーグルス（2025-26）,172,88,1991.10.19,34,HoerskoolWaterkloof,,HoerskoolWaterkloof,C,34,https://league-one.jp/player/484824,,,,,,25/26 Japan Rugby League One - Division 1 (1G/1T) -> 24/25 Japan Rugby League One - Division 1 (11G/1T) -> 23/24 Japan Rugby League One - Division 1 (4G) -> Rugby World Cup 5 0 1  -> 22/23 Japan Rugby League One - Division 1 (18G/4T) -> Rugby Championship 1 0 1  -> 21/22 Premiership (11G/1T) -> Champions Cup 1 0 2  -> Rugby Championship 3 0 1  -> 20/21 Premiership (20G/2T) -> Champions Cup 1 0 3  -> Rugby Championship 1 0 3  -> 19/20 Champions Cup (2G) -> Premiership 7 0 5 (2G) -> Premiership Rugby Cup 1 0 0 (1G) -> Rugby World Cup 4 0 1 (1G) -> 18/19 Challenge Cup (8G/1T) -> Premiership 9 2 5 (3G/5T) -> Rugby Championship 1 1 0  -> 17/18 Premiership (22G/4T) -> Challenge Cup 0 1 1  -> Anglo Welsh Cup 1 0 1  -> Rugby Championship 3 0 3 (2G) -> 16/17 Super Rugby (16G/2T) -> 15/16 Super Rugby (17G/4T) -> Rugby Championship 1 0 4  -> 14/15 Super Rugby (16G/5T) -> 13/14 Super Rugby (16G/3T)
Tatsuro Sugimoto,杉本 達郎,PR,横浜キヤノンイーグルス（2025-26）,175,110,1996.09.30,29,東大阪大学柏原高校,関西大学,東大阪大学柏原高校 関西大学,A,60,https://league-one.jp/player/484825,,,,,,25/26 Japan Rugby League One - Division 1 (8G) -> 24/25 Japan Rugby League One - Division 1 (16G) -> 23/24 Japan Rugby League One - Division 1 (17G) -> 22/23 Japan Rugby League One - Division 1 (13G) -> 21/22 Japan Rugby League One - Division 1 (11G)
Ryo Eto,江藤 良,CTB,横浜キヤノンイーグルス（2025-26）,181,94,2000.01.09,25,報徳学園高校,明治大学,報徳学園高校 明治大学,A,0,https://league-one.jp/player/484826,,,,,,No Data
Sioeli Vakalahi,シオエリ ・ヴァカラヒ,PR,横浜キヤノンイーグルス（2025-26）,178,110,1998.05.15,27,目黒学院高校,福岡工業大学,目黒学院高校 福岡工業大学,A,27,https://league-one.jp/player/484827,,,,,,25/26 Japan Rugby League One - Division 1 (2G) -> 24/25 Japan Rugby League One - Division 1 (7G) -> 23/24 Japan Rugby League One - Division 1 (6G) -> 22/23 Japan Rugby League One - Division 1 (15G/2T)
Sione Halasili,シオネ ・ハラシリ,No8,横浜キヤノンイーグルス（2025-26）,180,120,1999.10.15,26,目黒学院高校,日本大学,目黒学院高校 日本大学,A,46,https://league-one.jp/player/484828,,,,,,25/26 Japan Rugby League One - Division 1 (5G) -> 24/25 Japan Rugby League One - Division 1 (5G/3T) -> 23/24 Japan Rugby League One - Division 1 (16G/7T) -> 22/23 Japan Rugby League One - Division 1 (18G/8T) -> 21/22 Japan Rugby League One - Division 1 (5G/4T)
Liakimatagi Moli,リアキマタギ ・モリ,LO,横浜キヤノンイーグルス（2025-26）,197,114,1990.01.04,36,StPaul’sCollege,,StPaul’sCollege,A,56,https://league-one.jp/player/484829,,,,,,Not Found
Viliame Takayawa,ヴィリアメ ・タカヤワ,CTB,横浜キヤノンイーグルス（2025-26）,184,103,1997.02.21,28,KelstonBoysHighSchool,流通経済大学,KelstonBoysHighSchool 流通経済大学,A,52,https://league-one.jp/player/484830,,,,,,25/26 Japan Rugby League One - Division 1 (6G/4T) -> 24/25 Japan Rugby League One - Division 1 (16G/5T) -> 23/24 Japan Rugby League One - Division 1 (16G/12T) -> 22/23 Japan Rugby League One - Division 1 (7G/2T) -> 21/22 Japan Rugby League One - Division 1 (12G/2T)
Masayoshi Takezawa,竹澤 正祥,WTB,横浜キヤノンイーグルス（2025-26）,176,86,1995.05.05,30,明和県央高校,日本大学,明和県央高校 日本大学,A,46,https://league-one.jp/player/484831,,,'25 XV,,,25/26 Japan Rugby League One - Division 1 (3G) -> 24/25 Japan Rugby League One - Division 1 (10G/5T) -> 23/24 Japan Rugby League One - Division 1 (16G/4T) -> 22/23 Japan Rugby League One - Division 1 (14G/3T) -> 21/22 Japan Rugby League One - Division 1 (7G)
Yusuke Kajimura,梶村 祐介,CTB,横浜キヤノンイーグルス（2025-26）,181,95,1995.09.13,30,報徳学園高校,明治大学,報徳学園高校 明治大学,A,55,https://league-one.jp/player/484832,,,'15 U20、日本代表7CAP、Test Matchs(1CAP),,,25/26 Japan Rugby League One - Division 1 (6G/1T) -> 24/25 Japan Rugby League One - Division 1 (11G) -> Test Matchs 1 0 0  -> 23/24 Japan Rugby League One - Division 1 (14G/4T) -> 22/23 Japan Rugby League One - Division 1 (15G/3T) -> 21/22 Japan Rugby League One - Division 1 (15G/4T) -> 18/19 Test Matchs (1G)
Kazufumi Yamasuga,山菅 一史,SH,横浜キヤノンイーグルス（2025-26）,164,78,1997.12.03,28,東京高校,東海大学,東京高校 東海大学,A,41,https://league-one.jp/player/484833,,,'17 U20,,,25/26 Japan Rugby League One - Division 1 (5G) -> 24/25 Japan Rugby League One - Division 1 (12G) -> 23/24 Japan Rugby League One - Division 1 (5G) -> 22/23 Japan Rugby League One - Division 1 (12G/1T) -> 21/22 Japan Rugby League One - Division 1 (13G)
Yu Saruta,猿田 湧,FB,横浜キヤノンイーグルス（2025-26）,184,88,1998.06.04,27,秋田工業高校,明治大学,秋田工業高校 明治大学,A,0,https://league-one.jp/player/484834,,,'18 U20,,,No Data
Katsuto Kubo,久保 克斗,LO,横浜キヤノンイーグルス（2025-26）,192,108,1998.11.07,27,國學院栃木高校,帝京大学,國學院栃木高校 帝京大学,A,2,https://league-one.jp/player/484835,,,'18 U20、'18 U23,,,25/26 Japan Rugby League One - Division 1 (1G) -> 23/24 Japan Rugby League One - Division 1 (1G) -> 22/23 Japan Rugby League One - Division 1 (1G)
Yusaku Miyoshi,三好 優作,PR,横浜キヤノンイーグルス（2025-26）,174,102,1998.05.14,27,松山聖陵高校,明治大学,松山聖陵高校 明治大学,A,4,https://league-one.jp/player/484836,,,,,,22/23 Japan Rugby League One - Division 1 (5G)
Chihito Matsui,松井 千士,WTB,横浜キヤノンイーグルス（2025-26）,183,88,1994.11.11,31,常翔学園高校,同志社大学,常翔学園高校 同志社大学,A,34,https://league-one.jp/player/484837,,,'12 高校、日本代表2CAP,,,25/26 Japan Rugby League One - Division 1 (3G/1T) -> 24/25 Japan Rugby League One - Division 1 (8G/6T) -> 23/24 Japan Rugby League One - Division 1 (5G/4T) -> 22/23 Japan Rugby League One - Division 1 (6G/4T) -> 21/22 Japan Rugby League One - Division 1 (14G/7T)
Junpei Ogura,小倉 順平,SO,横浜キヤノンイーグルス（2025-26）,172,80,1992.07.11,33,桐蔭学園高校,早稲田大学,桐蔭学園高校 早稲田大学,A,70,https://league-one.jp/player/484838,,,日本代表4CAP,,,Not Found
Ryuta Yasui,安井 龍太,LO,横浜キヤノンイーグルス（2025-26）,187,105,1989.12.06,36,東海大仰星高校,東海大学,東海大仰星高校 東海大学,A,5,https://league-one.jp/player/484839,,,'08 U20、日本代表2CAP,,,22/23 Japan Rugby League One - Division 1 (2G) -> 21/22 Japan Rugby League One - Division 1 (4G)
Kazunari Takagi,高木 一成,WTB,横浜キヤノンイーグルス（2025-26）,176,84,1997.06.23,28,慶應義塾高校,慶應義塾大学,慶應義塾高校 慶應義塾大学,A,1,https://league-one.jp/player/484840,,,,,,21/22 Japan Rugby League One - Division 1 (1G)
Shota matsuoka,松岡 将大,PR,横浜キヤノンイーグルス（2025-26）,181,101,1997.07.31,28,近畿大学附属高校,近畿大学,近畿大学附属高校 近畿大学,A,27,https://league-one.jp/player/484841,,,,,,25/26 Japan Rugby League One - Division 1 (3G) -> 24/25 Japan Rugby League One - Division 1 (6G) -> 23/24 Japan Rugby League One - Division 1 (1G) -> 22/23 Japan Rugby League One - Division 1 (6G) -> 21/22 Japan Rugby League One - Division 1 (15G/1T)
Jesse Kriel,ジェシー ・クリエル,CTB,横浜キヤノンイーグルス（2025-26）,185,95,1994.02.15,31,MaritzburgCollege,UniversityofPretoria,MaritzburgCollege UniversityofPretoria,C,57,https://league-one.jp/player/484842,,,South Africa(3CAP),,,25/26 Japan Rugby League One - Division 1 (6G/4T) -> Autumn Nations Series 2 0 0  -> 24/25 Japan Rugby League One - Division 1 (16G/9T) -> Test Matchs 2 0 0 (1G) -> Rugby Championship 2 0 2  -> 23/24 Japan Rugby League One - Division 1 (10G/2T) -> Summer Nations Series 1 0 0 (2G) -> Rugby World Cup 6 0 1 (1G) -> Rugby Championship 5 0 1 (2G) -> 22/23 Japan Rugby League One - Division 1 (17G/7T) -> Rugby Championship 1 0 0  -> 21/22 Japan Rugby League One - Division 1 (13G/5T) -> Test Matchs 0 0 1  -> Rugby Championship 3 0 1  -> 20/21 South Africa (1G) -> 19/20 South Africa (2G) -> Rugby World Cup 0 0 1  -> 18/19 Super Rugby (9G/4T) -> Rugby Championship 2 1 0  -> 17/18 Super Rugby (16G/8T) -> 16/17 Super Rugby (14G/5T) -> Rugby Championship 2 2 2 (1G) -> 15/16 Super Rugby (14G/1T) -> Rugby World Cup 5 0 2 (1G) -> Rugby Championship 2 0 3  -> 14/15 Super Rugby (16G/1T) -> 13/14 Super Rugby (1G)
Yu Tamura,田村 優,SO,横浜キヤノンイーグルス（2025-26）,181,92,1989.01.09,36,國學院栃木高校,明治大学,國學院栃木高校 明治大学,A,64,https://league-one.jp/player/484843,,,日本代表70CAP、Test Matchs(10CAP),,,25/26 Japan Rugby League One - Division 1 (8G/1T) -> 24/25 Japan Rugby League One - Division 1 (18G/2T) -> 23/24 Japan Rugby League One - Division 1 (16G) -> 22/23 Japan Rugby League One - Division 1 (16G/4T) -> 21/22 Japan Rugby League One - Division 1 (11G) -> Autumn Nations Cup 0 0 2  -> 20/21 Test Matchs (2G) -> 19/20 Test Matchs (1G) -> Rugby World Cup 4 0 1  -> 18/19 Super Rugby (3G) -> Pacific Nations Cup 3 0 0  -> 17/18 Super Rugby (6G) -> 16/17 Super Rugby (9G/2T) -> 15/16 Super Rugby (15G) -> Rugby World Cup 1 0 1  -> 14/15 Test Matchs (1G) -> 13/14 Test Matchs (6G)
Yusuke Niwai,庭井 祐輔,HO,横浜キヤノンイーグルス（2025-26）,174,95,1991.10.22,34,報徳学園高校,立命館大学,報徳学園 立命館大学,A,57,https://league-one.jp/player/484844,,,'10 U20、'11 U20、日本代表10CAP、Test Matchs(2CAP),,,25/26 Japan Rugby League One - Division 1 (5G) -> 24/25 Japan Rugby League One - Division 1 (16G) -> 23/24 Japan Rugby League One - Division 1 (13G/1T) -> 22/23 Japan Rugby League One - Division 1 (11G/3T) -> 21/22 Japan Rugby League One - Division 1 (14G/4T) -> Autumn Nations Cup 0 0 1  -> 18/19 Test Matchs (2G) -> 17/18 Super Rugby (8G) -> 16/17 Super Rugby (10G)
Toshiki Amano,天野 寿紀,SH,横浜キヤノンイーグルス（2025-26）,170,80,1990.10.27,35,常翔学園高校,帝京大学,常翔学園高校 帝京大学,A,28,https://league-one.jp/player/484845,,,,,,25/26 Japan Rugby League One - Division 1 (3G) -> 24/25 Japan Rugby League One - Division 1 (6G) -> 23/24 Japan Rugby League One - Division 1 (15G/2T) -> 22/23 Japan Rugby League One - Division 1 (1G) -> 21/22 Japan Rugby League One - Division 1 (7G/1T)
Ryo Tabata,田畑 凌,CTB,横浜キヤノンイーグルス（2025-26）,177,93,1996.07.05,29,報徳学園高校,京都産業大学,報徳学園高校 京都産業大学,A,19,https://league-one.jp/player/484846,,,,,,25/26 Japan Rugby League One - Division 1 (2G) -> 24/25 Japan Rugby League One - Division 1 (12G) -> 23/24 Japan Rugby League One - Division 1 (6G/1T) -> 22/23 Japan Rugby League One - Division 1 (1G/1T)
Takato Okabe,岡部 崇人,PR,横浜キヤノンイーグルス（2025-26）,180,105,1995.02.19,30,上宮高校,関西学院大学,上宮高校 関西学院大学,A,69,https://league-one.jp/player/484847,,,日本代表8CAP,,,25/26 Japan Rugby League One - Division 1 (8G) -> 24/25 Japan Rugby League One - Division 1 (18G/1T) -> Autumn Nations Series 0 0 2  -> 23/24 Japan Rugby League One - Division 1 (17G/1T) -> Pacific Nations Cup 1 0 1  -> 22/23 Japan Rugby League One - Division 1 (17G/1T) -> 21/22 Japan Rugby League One - Division 1 (14G/1T)
Kouki Arai,荒井 康植,SH,横浜キヤノンイーグルス（2025-26）,175,80,1993.05.14,32,佐賀工業高校,帝京大学,佐賀工業高校 帝京大学,A,29,https://league-one.jp/player/484848,,,,,,Not Found
Ryosuke Iwaihara,祝原 涼介,PR,横浜キヤノンイーグルス（2025-26）,184,115,1996.10.06,29,桐蔭学園高校,明治大学,桐蔭学園高等学校 明治大学,A,52,https://league-one.jp/player/484849,,,'15 U20、'16 U20、'15 U23、日本代表5CAP,,,25/26 Japan Rugby League One - Division 1 (5G) -> Autumn Nations Series 0 0 1  -> 24/25 Japan Rugby League One - Division 1 (14G/1T) -> Test Matchs 0 0 1  -> 23/24 Japan Rugby League One - Division 1 (18G) -> 22/23 Japan Rugby League One - Division 1 (14G/1T) -> 21/22 Japan Rugby League One - Division 1 (3G/1T)
Shunta Nakamura,中村 駿太,HO,横浜キヤノンイーグルス（2025-26）,176,100,1994.02.28,31,桐蔭学園高校,明治大学,桐蔭学園高等学校 明治大学,A,66,https://league-one.jp/player/484850,,,,,,25/26 Japan Rugby League One - Division 1 (8G/1T) -> 24/25 Japan Rugby League One - Division 1 (17G) -> 23/24 Japan Rugby League One - Division 1 (18G/11T) -> 22/23 Japan Rugby League One - Division 1 (18G/9T) -> 21/22 Japan Rugby League One - Division 1 (10G/2T)
Ryu Fukuhara,普久原 琉,FB,横浜キヤノンイーグルス（2025-26）,178,85,2000.11.03,25,コザ,日本大学,コザ高校 日本大学,A,7,https://league-one.jp/player/484851,,,,,,24/25 Japan Rugby League One - Division 1 (1G/1T) -> 23/24 Japan Rugby League One - Division 1 (6G)
Lekima Nasamila,レキマ ・ナサミラ,FL,横浜キヤノンイーグルス（2025-26）,190,123,1998.12.27,27,Leleanmemorialschool,東海大学,Leleanmemorialschool 東海大学,A,11,https://league-one.jp/player/484852,,,,,,25/26 Japan Rugby League One - Division 1 (2G) -> 24/25 Japan Rugby League One - Division 1 (5G/1T) -> 23/24 Japan Rugby League One - Division 1 (6G/1T)
Kippei Ishida,石田 吉平,WTB,横浜キヤノンイーグルス（2025-26）,167,74,2000.04.28,25,常翔学園高校,明治大学,常翔学園高校 明治大学,A,18,https://league-one.jp/player/484853,,,日本代表9CAP,,,25/26 Japan Rugby League One - Division 1 (7G/2T) -> Autumn Nations Series 0 0 2 (1G) -> 24/25 Japan Rugby League One - Division 1 (16G/11T) -> Pacific Nations Cup 3 0 0 (3G)
Yuragi Muto,武藤 ゆらぎ,SO,横浜キヤノンイーグルス（2025-26）,170,77,2001.07.30,24,東海大学付属大阪仰星高校,東海大学,東海大学付属大阪仰星高等学校 東海大学,A,9,https://league-one.jp/player/484854,,,,,,25/26 Japan Rugby League One - Division 1 (7G/2T) -> 24/25 Japan Rugby League One - Division 1 (4G) -> 23/24 Japan Rugby League One - Division 1 (3G/1T)
Hayate Hiraishi,平石 颯,HO,横浜キヤノンイーグルス（2025-26）,179,103,2002.02.09,23,桐蔭学園高校,筑波大学,桐蔭学園 筑波大学,A,2,https://league-one.jp/player/484855,,,,,,24/25 Japan Rugby League One - Division 1 (2G)
Randall Baker,ランダル ・ベイカー,FL,横浜キヤノンイーグルス（2025-26）,191,114,2005.09.16,20,ボタニー・ダウンズ・セカンダリ,,ボタニー・ダウンズ・セカンダリ,B,2,https://league-one.jp/player/485911,,,,,,25/26 Japan Rugby League One - Division 1 (7G/1T) -> 24/25 Auckland (1G) -> U20 Championship 1 0 0 
Tomoya Adachi,足立 友哉,HO,リコーブラックラムズ東京（2025-26）,180,115,2004.09.04,21,クリフトンカレッジ,,クリフトンカレッジ,A,0,https://league-one.jp/player/484856,,,,,,Not Found
