闍ｱ隱槫錐,驕ｸ謇句錐,繝昴ず繧ｷ繝ｧ繝ｳ,謇螻槭メ繝ｼ繝,霄ｫ髟ｷ,菴馴㍾,逕溷ｹｴ譛域律,蟷ｴ鮨｢,鬮俶｡,螟ｧ蟄ｦ,蜃ｺ霄ｫ譬｡繝ｻ繝√ｼ繝豁ｴ(蜈ｨ譁),繧ｫ繝ざ繝ｪ,繝ｪ繝ｼ繧ｰ繝ｯ繝ｳ繧ｭ繝｣繝謨ｰ,URL,Text_Detail,繧ｭ繝｣繝ｪ繧｢驕肴ｭｴ,莉｣陦ｨ繧ｭ繝｣繝謨ｰ,International_Caps,Scraped_Url
Raia Takashima,鬮伜ｳｶ 萓ｺ,SH,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,184,77,2005.03.23,20,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ槫､ｧ髦ｪ莉ｰ譏滄ｫ俶｡,,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ槫､ｧ髦ｪ莉ｰ譏滄ｫ俶｡,A,1,https://league-one.jp/player/484435,,,,,
Shion Matsuda,譚ｾ逕ｰ 遏･諱ｩ,SO,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,178,74,2004.12.06,21,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ槫､ｧ髦ｪ莉ｰ譏滄ｫ俶｡,,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ槫､ｧ髦ｪ莉ｰ譏滄ｫ俶｡,A,0,https://league-one.jp/player/484436,,,,,
Ken Tonobe,謌ｸ驥朱Κ 隰,CTB,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,177,92,2000.07.01,25,蟯宣蟾･讌ｭ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,蟯宣蟾･讌ｭ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,7,https://league-one.jp/player/484437,,,,,
Viliame Suwawa,繝ｴ繧｣繝ｪ繧｢繝 繝ｻ繧ｹ繝ｯ繝ｯ,CTB,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,184,103,1998.01.18,27,繧ｹ繝ｴ繧｡繧ｰ繝ｩ繝槭ｼ鬮俶｡,諡捺ｮ門､ｧ蟄ｦ,繧ｹ繝ｴ繧｡繧ｰ繝ｩ繝槭ｼ鬮俶｡ 諡捺ｮ門､ｧ蟄ｦ,A,8,https://league-one.jp/player/484438,,,,,
Taleni Seu,繧ｿ繝ｬ繝 繝ｻ繧ｻ繧ｦ,,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,201,119,1993.12.26,32,繧ｪ繝阪ヵ繝ｳ繧ｬ鬮俶｡,,繧ｪ繝阪ヵ繝ｳ繧ｬ鬮俶｡,C,34,https://league-one.jp/player/484439,,,,,
Chance Peni,繝√Ε繝ｳ繧ｹ 繝ｻ繝壹ル,WTB,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,191,98,1994.01.17,31,繧ｵ繧ｦ繧ｹ繝ｩ繝ｳ繝峨繝ｼ繧､繧ｺ鬮俶｡,繧｢繝ｩ繝ｳ繝｢繧｢繧ｫ繧ｽ繝ｪ繝け繧ｫ繝ｬ繝ず,繧ｵ繧ｦ繧ｹ繝ｩ繝ｳ繝峨繝ｼ繧､繧ｺ鬮俶｡ 繧｢繝ｩ繝ｳ繝｢繧｢繧ｫ繧ｽ繝ｪ繝け繧ｫ繝ｬ繝ず,A,31,https://league-one.jp/player/484440,,,,,
Takuma Oyama,螟ｧ螻ｱ 蜊鍋悄,HO,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,170,93,2001.12.25,24,蝣ｱ蠕ｳ蟄ｦ蝨帝ｫ俶｡,蜷悟ｿ礼､ｾ螟ｧ蟄ｦ,蝣ｱ蠕ｳ蟄ｦ蝨 蜷悟ｿ礼､ｾ螟ｧ蟄ｦ,A,18,https://league-one.jp/player/484441,,,,,
Cheng Chao Yi,驗ｭ 蜈ｯ,FL,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,185,105,1999.11.24,26,遶ｹ蝨帝ｫ俶｡,螟ｩ逅､ｧ蟄ｦ,遶ｹ蝨帝ｫ俶｡ 螟ｩ逅､ｧ蟄ｦ,A,17,https://league-one.jp/player/484442,,,,,
Taiga Matsuoka,譚ｾ蟯｡ 螟ｧ豐ｳ,WTB,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,171,80,2001.09.03,24,譚ｱ遖丞ｲ｡鬮俶｡,莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡鬮俶｡ 莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,A,2,https://league-one.jp/player/484443,,,,,
Christian Lealiifano,繧ｯ繝ｪ繧ｹ繝√Ε繝ｳ 繝ｻ繝ｪ繧｢繝ｪ繝ｼ繝輔ぃ繝,SO,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,179,92,1987.09.24,38,繝斐ｼ繧ｿ繝ｼ繝ｩ繝ｩ繝ｼ繧ｻ繧ｫ繝ｳ繝繝ｪ繝ｼ繧ｫ繝ｬ鬮俶｡,,繝斐ｼ繧ｿ繝ｼ繝ｩ繝ｩ繝ｼ繧ｻ繧ｫ繝ｳ繝繝ｪ繝ｼ繧ｫ繝ｬ,C,2,https://league-one.jp/player/486434,,,,,
Ieremia Mataena,繧､繧ｨ繝ｬ繝溘い 繝ｻ繝槭ち繧ｨ繝,PR,雎顔伐閾ｪ蜍慕ｹ疲ｩ溘す繝｣繝医Ν繧ｺ諢帷衍ｼ2025-26ｼ,180,120,1995.09.03,30,繧ｱ繝ｫ繧ｹ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡,鞫ょ漉螟ｧ蟄ｦ,繧ｱ繝ｫ繧ｹ繝医Φ繝懊ｼ繧､繧ｺ鬮俶｡ 鞫ょ漉螟ｧ蟄ｦ,A,8,https://league-one.jp/player/488119,,,,,
Liekina Kaufusi,繝ｪ繧ｨ繧ｭ繝 繝ｻ繧ｫ繧ｦ繝輔す,WTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,182,98,1998.01.24,27,繝医Φ繧ｬ繝ｻ繧ｫ繝ｬ繝ず,譌･譛ｬ譁㍼炊螟ｧ蟄ｦ,繝医Φ繧ｬ繝ｻ繧ｫ繝ｬ繝ず 譌･譛ｬ譁㍼炊螟ｧ蟄ｦ,A,8,https://league-one.jp/player/484478,,,,,
Troy Hallett,繝医Ο繧､ 繝ｻ繝上Ξ繝ヨ,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,183,114,1995.09.24,30,繝ｪ繝ｳ繧ｫ繝ｳ繝ｻ繝上う繝ｻ繧ｹ繧ｯ繝ｼ繝ｫ鬮俶｡,,繝ｪ繝ｳ繧ｫ繝ｳ繝ｻ繝上う繝ｻ繧ｹ繧ｯ繝ｼ繝ｫ,B,2,https://league-one.jp/player/484479,,,,,
Lulu Paea,繝ｫ繝ｫ 繝ｻ繝代お繧｢,HO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,171,105,2003.06.03,22,繧ｻ繝ｳ繝医ｻ繧ｨ繝峨Ρ繝ｼ繧ｺ繝ｻ繧ｫ繝ｬ繝ず,,繧ｻ繝ｳ繝医ｻ繧ｨ繝峨Ρ繝ｼ繧ｺ繝ｻ繧ｫ繝ｬ繝ず,B,1,https://league-one.jp/player/484480,,,,,
Connor Seve,繧ｳ繝翫ｼ 繝ｻ繧ｻ繝ｴ繧ｧ,LO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,201,116,2002.01.07,24,繝医Μ繝九ユ繧｣繝ｻ繧ｫ繝ｬ繝ず,,繝医Μ繝九ユ繧｣繝ｻ繧ｫ繝ｬ繝ず,B,0,https://league-one.jp/player/484481,,,,,
Shinnosuke Tafokitau Oka,蟯｡ 譁ｰ荵句勧繧ｿ繝輔か繧ｭ繧ｿ繧ｦ,SH,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,173,81,1994.06.11,31,繝医Φ繧ｬ繝ｻ繧ｫ繝ｬ繝ず,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,繝医Φ繧ｬ繝ｻ繧ｫ繝ｬ繝ず 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,5,https://league-one.jp/player/484482,,,,,
Paula Mahe,繝代え繝ｩ 繝ｻ繝槭,CTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,184,103,2000.08.06,25,繧ｻ繝ｳ繝医ｻ繝斐ｼ繧ｿ繝ｼ繧ｺ繝ｻ繧ｱ繝ｳ繝悶Μ繝ず鬮俶｡,,繧ｻ繝ｳ繝医ｻ繝斐ｼ繧ｿ繝ｼ繧ｺ繝ｻ繧ｱ繝ｳ繝悶Μ繝ず,C,0,https://league-one.jp/player/484483,,,,,
Koki Saito,鮨玖陸 蠑俶ｯ,CTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,175,90,2002.09.21,23,豬∫ｵ悟､ｧ譟城ｫ倬ｫ俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,豬∫ｵ悟､ｧ譟城ｫ 譌･譛ｬ菴楢ご螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484484,,,,,
Gosuke Kawakami,蟾昜ｸ 蜑帛承,WTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,173,85,1994.04.28,31,譚ｱ遖丞ｲ｡鬮俶｡,髢｢隘ｿ蟄ｦ髯｢螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡鬮俶｡ 髢｢隘ｿ蟄ｦ髯｢螟ｧ蟄ｦ,A,20,https://league-one.jp/player/484485,,,,,
Mitchell Hunt,繝溘ャ繝√ぉ繝ｫ 繝ｻ繝上Φ繝,SO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,172,83,1995.06.19,30,繝阪Ν繧ｽ繝ｳ鬮俶｡,,繝阪Ν繧ｽ繝ｳ鬮俶｡,B,34,https://league-one.jp/player/484486,,,,,
Angus Fletcher,繧｢繝ｳ繧ｬ繧ｹ 繝ｻ繝輔Ξ繝メ繝｣繝ｼ,FL,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,185,105,2000.06.21,25,繝ｩ繝ｳ繧ｮ繧ｪ繝ｩ鬮俶｡,繧ｫ繝ｳ繧ｿ繝吶Μ繝ｼ螟ｧ蟄ｦ,繝ｩ繝ｳ繧ｮ繧ｪ繝ｩ鬮俶｡ 繧ｫ繝ｳ繧ｿ繝吶Μ繝ｼ螟ｧ蟄ｦ,B,5,https://league-one.jp/player/484487,,,,,
Satoshi Hatazawa,逡貔､ 隲ｭ,LO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,193,114,1998.05.27,27,髢句ｿ怜嵜髫幃ｫ俶｡,遶句多鬢ｨ螟ｧ蟄ｦ,髢句ｿ怜嵜髫幃ｫ俶｡ 遶句多鬢ｨ螟ｧ蟄ｦ,A,16,https://league-one.jp/player/484488,,,,,
Satoshi Ueda,荳顔伐 閨,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,181,110,1989.04.08,36,鮓ｴ譚･鬮俶｡,螟ｩ逅､ｧ蟄ｦ,鮓ｴ譚･鬮俶｡ 螟ｩ逅､ｧ蟄ｦ,A,33,https://league-one.jp/player/484489,,,,,
Kazushi Ochi,關ｽ 蜥悟彰,SO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,182,93,2001.01.05,25,遏ｳ隕区匱鄙鬢ｨ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,遏ｳ隕区匱鄙鬢ｨ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,33,https://league-one.jp/player/484490,,,,,
Darius Thomas,繝繝ｪ繧ｨ繧ｹ 繝ｻ繝医繧ｹ,WTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,183,83,2003.10.20,22,莉吝床閧ｲ闍ｱ鬮俶｡,,莉吝床閧ｲ闍ｱ鬮俶｡,A,4,https://league-one.jp/player/484491,,,,,
Osukalloyd Murata,譚醍伐 繧ｪ繧ｹ繧ｫ繝ｭ繧､繝,CTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,173,84,1994.01.02,32,繝輔Ξ繝す繝･繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,繝輔Ξ繝す繝･繧ｦ繧ｩ繝ｼ繧ｿ繝ｼ鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,31,https://league-one.jp/player/484492,,,,,
Kohei Ishigaki,遏ｳ蝙｣ 闊ｪ蟷ｳ,FL,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,183,110,1993.06.25,32,螳ｮ蜿､鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,螳ｮ蜿､鬮俶｡ 蟶昜ｺｬ螟ｧ蟄ｦ,A,46,https://league-one.jp/player/484493,,,,,
Dallas Tatana,繧ｿ繧ｿ繝 繝繝ｩ繧ｹ,LO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,189,107,1991.08.27,34,譛ｭ蟷悟ｱｱ縺ｮ謇矩ｫ俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譛ｭ蟷悟ｱｱ縺ｮ謇矩ｫ俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,37,https://league-one.jp/player/484494,,,,,
Daisuke Musha,豁ｦ閠 螟ｧ霈,FL,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,177,96,1990.05.18,35,莉吝床閧ｲ闍ｱ鬮俶｡,豕墓帆螟ｧ蟄ｦ,莉吝床閧ｲ闍ｱ鬮俶｡ 豕墓帆螟ｧ蟄ｦ,A,23,https://league-one.jp/player/484495,,,,,
Ryuji Abe,髦ｿ驛ｨ 遶應ｺ,WTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,167,80,1999.09.23,26,鮟呈ｲ｢蟆ｻ蟾･讌ｭ鬮俶｡,髢｢譚ｱ蟄ｦ髯｢螟ｧ蟄ｦ,鮟呈ｲ｢蟆ｻ蟾･讌ｭ鬮俶｡ 髢｢譚ｱ蟄ｦ髯｢螟ｧ蟄ｦ,A,33,https://league-one.jp/player/484496,,,,,
Takumi Tokairin,譚ｱ豬ｷ譫 諡灘ｮ,SH,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,162,71,1999.06.14,26,螻ｱ蠖｢荳ｭ螟ｮ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,螻ｱ蠖｢荳ｭ螟ｮ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,9,https://league-one.jp/player/484497,,,,,
Taiki Noguchi,驥主哨 螟ｧ雋ｴ,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,183,115,1999.04.20,26,蛹玲ｵｷ驕馴□霆ｽ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,蛹玲ｵｷ驕馴□霆ｽ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,32,https://league-one.jp/player/484498,,,,,
Ken Chiba,蜊痩 蛛･,WTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,171,80,2002.08.30,23,髱呈｣ｮ螻ｱ逕ｰ鬮俶｡,,髱呈｣ｮ螻ｱ逕ｰ鬮俶｡,A,0,https://league-one.jp/player/484499,,,,,
Kodai Ono,蟆城㍽ 闊ｪ螟ｧ,WTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,170,82,1991.12.15,34,逎仙沁鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,逎仙沁鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,33,https://league-one.jp/player/484500,,,,,
Katsuto Hatanaka,逡荳ｭ 雎ｪ螢ｫ,CTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,178,90,1996.09.25,29,蜃ｽ鬢ｨ蟾･讌ｭ鬮俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,蜃ｽ鬢ｨ蟾･讌ｭ鬮俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,22,https://league-one.jp/player/484501,,,,,
Gerdus Vanderwalt,繝倥Ν繝繧ｹ 繝ｻ繝輔ぃ繝ｳ繝Ν繝ｴ繧ｩ繝ｫ繝,CTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,184,102,1995.04.20,30,繝｢繝九Η繝｡繝ｳ繝磯ｫ俶｡,繝ｨ繝上ロ繧ｹ繝悶Ν繧ｰ螟ｧ蟄ｦ,繝｢繝九Η繝｡繝ｳ繝磯ｫ俶｡ 繝ｨ繝上ロ繧ｹ繝悶Ν繧ｰ螟ｧ蟄ｦ,A,30,https://league-one.jp/player/484502,,,,,
Yohei Murakami,譚台ｸ 髯ｽ蟷ｳ,SH,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,168,73,1998.05.20,27,莉吝床閧ｲ闍ｱ鬮俶｡,譌･譛ｬ螟ｧ蟄ｦ,莉吝床閧ｲ闍ｱ鬮俶｡ 譌･譛ｬ螟ｧ蟄ｦ,A,49,https://league-one.jp/player/484503,,,,,
Atsushi Minami,蜊 遽､蠢,SH,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,173,85,1993.08.06,32,貂⒨悄蟄ｦ蝨帝ｫ俶｡,諷ｶ諛臥ｾｩ蝪ｾ螟ｧ蟄ｦ,貂⒨悄蟄ｦ蝨帝ｫ俶｡ 諷ｶ諛臥ｾｩ蝪ｾ螟ｧ蟄ｦ,A,43,https://league-one.jp/player/484504,,,,,
Naoki Ouno,邇矩㍽ 蟆壼ｸ,HO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,176,102,1996.09.04,29,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ樒嶌讓｡鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,譚ｱ豬ｷ螟ｧ蟄ｦ莉伜ｱ樒嶌讓｡鬮俶｡ 譚ｱ豬ｷ螟ｧ蟄ｦ,A,30,https://league-one.jp/player/484505,,,,,
Ryota Kono,豐ｳ驥 濶ｯ螟ｪ,FL,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,169,90,1995.12.07,30,荳ｭ驛ｨ螟ｧ蟄ｦ譏･譌･荳倬ｫ俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,荳ｭ驛ｨ螟ｧ蟄ｦ譏･譌･荳倬ｫ俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,47,https://league-one.jp/player/484506,,,,,
Benjamin Nee-Nee,繝吶Φ繧ｸ繝｣繝溘Φ 繝ｻ繝九ｼ繝九ｼ,FL,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,200,117,1993.05.12,32,繝懊ち繝九ｼ繝繧ｦ繝ｳ繧ｺ繝ｻ繧ｻ繧ｫ繝ｳ繝繝ｪ繝ｼ繧ｫ繝ｬ繝ず,,繝懊ち繝九ｼ繝繧ｦ繝ｳ繧ｺ繝ｻ繧ｻ繧ｫ繝ｳ繝繝ｪ繝ｼ繧ｫ繝ｬ繝ず,C,49,https://league-one.jp/player/484507,,,,,
Ryunosuke Yamada,螻ｱ逕ｰ 鮴堺ｹ倶ｻ,LO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,188,105,1991.10.12,34,螟ｧ豕蛾ｫ俶｡,遶区蕗螟ｧ蟄ｦ,螟ｧ豕蛾ｫ俶｡ 遶区蕗螟ｧ蟄ｦ,A,30,https://league-one.jp/player/484508,,,,,
Taiki Ito,莨願陸 螟ｧ霈,HO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,176,106,1994.05.17,31,闍･迢ｭ譚ｱ鬮俶｡,,闍･迢ｭ譚ｱ鬮俶｡,A,52,https://league-one.jp/player/484509,,,,,
Shodai Osada,髟ｷ逕ｰ 蟆､ｧ,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,180,115,1998.06.01,27,髢｢譚ｱ蟄ｦ髯｢蜈ｭ豬ｦ鬮俶｡,髢｢譚ｱ蟄ｦ髯｢螟ｧ蟄ｦ,髢｢譚ｱ蟄ｦ髯｢蜈ｭ豬ｦ鬮俶｡ 髢｢譚ｱ蟄ｦ髯｢螟ｧ蟄ｦ,A,3,https://league-one.jp/player/484510,,,,,
Yusuke Yamada,螻ｱ逕ｰ 陬穂ｻ,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,175,105,1998.03.11,27,蠕｡謇螳滓･ｭ鬮俶｡,,蠕｡謇螳滓･ｭ鬮俶｡,A,31,https://league-one.jp/player/484511,,,'18 U20縲'18 U23,,
Suguru Aoyagi,髱呈浹 鬲,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,173,106,2001.03.14,24,閨門蟄ｦ髯｢鬮倡ｭ牙ｭｦ譬｡,蜈ｫ謌ｸ蟄ｦ髯｢螟ｧ蟄ｦ,閨門蟄ｦ髯｢鬮倡ｭ牙ｭｦ譬｡ 蜈ｫ謌ｸ蟄ｦ髯｢螟ｧ蟄ｦ,A,4,https://league-one.jp/player/484512,,,,,
Taichi Takahashi,鬮俶ｩ 豕ｰ蝨ｰ,FL,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,179,94,1999.12.04,26,遘狗伐蟾･讌ｭ鬮俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,遘狗伐蟾･讌ｭ鬮俶｡ 譌･譛ｬ菴楢ご螟ｧ蟄ｦ,A,5,https://league-one.jp/player/484513,,,,,
Mosese Tonga,繝医Φ繧ｬ 繝｢繧ｻ繧ｻ,CTB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,173,102,1992.04.05,33,譌･譛ｬ闊ｪ遨ｺ鬮俶｡遏ｳ蟾晞ｫ俶｡,螟ｩ逅､ｧ蟄ｦ,譌･譛ｬ闊ｪ遨ｺ鬮俶｡遏ｳ蟾 螟ｩ逅､ｧ蟄ｦ,A,32,https://league-one.jp/player/484514,,,,,
Ryo Kikkawa,蜷牙ｷ 驕ｼ,FB,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,178,86,1996.03.21,29,蝗ｽ蟄ｦ髯｢荵⒧螻ｱ鬮俶｡,繝ｯ繧､繧ｫ繝亥､ｧ蟄ｦ,蝗ｽ蟄ｦ髯｢荵⒧螻ｱ鬮俶｡ 繝ｯ繧､繧ｫ繝亥､ｧ蟄ｦ,A,15,https://league-one.jp/player/484515,,,,,
Sei Matsuyama,譚ｾ螻ｱ 髱,PR,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,182,110,2001.11.28,24,蟯宣蟾･讌ｭ蟯宣ｫ俶｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,蟯宣蟾･讌ｭ蟯宣ｫ俶｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,10,https://league-one.jp/player/484516,,,,,
Yuga Suzuki,驤ｴ譛ｨ 髮ｵｷ,LO,譌･譛ｬ陬ｽ驩∪遏ｳ繧ｷ繝ｼ繧ｦ繧ｧ繧､繝悶せｼ2025-26ｼ,186,100,2001.11.06,24,驥題ｶｳ霎ｲ讌ｭ鬮倡ｭ牙ｭｦ譬｡,螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,驥題ｶｳ霎ｲ讌ｭ鬮倡ｭ牙ｭｦ譬｡ 螟ｧ譚ｱ譁㍾喧螟ｧ蟄ｦ,A,0,https://league-one.jp/player/484517,,,,,
