英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url
Franco Mostert,フランコ ・モスタート,LO,三重ホンダヒート（2025-26）,200,112,1990.11.27,35,ブリッツ高高校,プレトリア大学,ブリッツ高 プレトリア大学,C,60,https://league-one.jp/player/484701,,,,,
Hiroaki Shirahama,白濱 弘章,HO,三重ホンダヒート（2025-26）,175,102,1994.10.28,31,東福岡高校,九州共立大学,東福岡高校 九州共立大学,A,6,https://league-one.jp/player/484702,,,,,
Matthys Basson,マティウス ・バッソン,PR,三重ホンダヒート（2025-26）,191,120,1995.06.09,30,ボランド農業高校,プレトリア大学,ボランド農業高校 プレトリア大学,A,46,https://league-one.jp/player/484703,,,,,
Taiki Yoshioka,吉岡 大貴,PR,三重ホンダヒート（2025-26）,183,115,1995.09.02,30,日向高校,明治大学,日向高校 明治大学,A,32,https://league-one.jp/player/484704,,,,,
Tatsuhiko Tsurukawa,鶴川 達彦,PR,三重ホンダヒート（2025-26）,183,115,1995.05.21,30,桐蔭学園中等教育学校,早稲田大学,桐蔭学園中等教育学校 早稲田大学,A,64,https://league-one.jp/player/484705,,,'19 U23,,
Takumi Fujii,藤井 拓海,PR,三重ホンダヒート（2025-26）,176,108,1995.09.02,30,東海大仰星高校,関西大学,東海大仰星高校 関西大学,A,43,https://league-one.jp/player/484706,,,,,
Wihongi Connor,コナー ・ウィホンギ,LO,三重ホンダヒート（2025-26）,200,116,1997.08.20,28,AucklandGrammar,山梨学院大学,AucklandGrammar 山梨学院大学,A,13,https://league-one.jp/player/484707,,,,,
Kapa Waimana,ワイマナ ・カパ,FL,三重ホンダヒート（2025-26）,192,107,1998.09.02,27,マウントアルバートグラマースクール,,マウントアルバートグラマースクール,A,36,https://league-one.jp/player/484708,,,,,
Li Tevita,テビタ ・リー,WTB,三重ホンダヒート（2025-26）,182,95,1995.03.23,30,マッセイ,,マッセイ高校,B,42,https://league-one.jp/player/484709,,,,,
Azuma Doei,土永 雷,SH,三重ホンダヒート（2025-26）,172,70,1998.07.24,27,光泉高校,帝京大学,光泉高校 帝京大学,A,29,https://league-one.jp/player/484710,,,,,
Kenta Hirai,平井 建多,PR,三重ホンダヒート（2025-26）,186,115,2001.05.09,24,萩商工高校,九州共立大学,萩商工高校 九州共立大学,A,0,https://league-one.jp/player/484711,,,,,
Takuro Hojo,北條 拓郎,SH,三重ホンダヒート（2025-26）,174,80,2001.09.18,24,天理高校,天理大学,天理高校 天理大学,A,11,https://league-one.jp/player/484712,,,,,
koki Miyasaka,宮坂 航生,SH,三重ホンダヒート（2025-26）,172,75,2002.03.01,23,中部大学春日丘高校,専修大学,中部大学春日丘高校 専修大学,A,0,https://league-one.jp/player/484713,,,,,
Kyogo Okano,岡野 喬吾,CTB,三重ホンダヒート（2025-26）,184,100,2001.10.31,24,常翔学園高校,同志社大学,常翔学園高校 同志社大学,A,17,https://league-one.jp/player/484714,,,,,
Pablo Matera,パブロ ・マテーラ,No8,三重ホンダヒート（2025-26）,190,111,1993.07.18,32,セントキャサリンズムアランズスクール,,セントキャサリンズムアランズスクール,C,35,https://league-one.jp/player/484715,,,,,
Yu Kawai,河井 優,UTB,三重ホンダヒート（2025-26）,173,81,1999.12.01,26,日本航空高校石川,近畿大学,日本航空高等学校石川 近畿大学,A,0,https://league-one.jp/player/485077,,,,,
Gideon Koegelenberg,ギディオン ・コーヘレンバーグ,LO,三菱重工相模原ダイナボアーズ（2025-26）,202,122,1994.11.25,31,フゲノート,,フゲノート高校,B,0,https://league-one.jp/player/483287,,,,,
Pieter Scholtz,ピーター ・ショルツ,PR,三菱重工相模原ダイナボアーズ（2025-26）,187,137,1994.03.20,31,Diamantveld,high,Diamantveld high school,B,2,https://league-one.jp/player/483288,,,,,
Charlie Titcombe,チャーリー ・ティトコム,SO,三菱重工相模原ダイナボアーズ（2025-26）,179,86,2001.12.28,24,Oakham,School,Oakham School  Loughborough University,B,0,https://league-one.jp/player/483289,,,,,
Lukhanyo Am,ルカニョ ・アム,CTB,三菱重工相模原ダイナボアーズ（2025-26）,186,97,1993.11.28,32,デ・フォース・ラマン,,デ・フォース・ラマン高校,C,9,https://league-one.jp/player/483290,,,,,
Hiyu Sasaki,佐々木 陽有,WTB,三菱重工相模原ダイナボアーズ（2025-26）,172,79,2004.03.14,21,ランギトトカレッジ,オークランド大学,ランギトトカレッジ オークランド大学,A,0,https://league-one.jp/player/484716,,,,,
Shun Miyake,三宅 駿,SO,三菱重工相模原ダイナボアーズ（2025-26）,170,88,2001.12.28,24,クライスト・カレッジ,カンタベリー大学,クライスト・カレッジ カンタベリー大学,A,3,https://league-one.jp/player/484717,,,,,
Shunsuke Asaoka,淺岡 俊亮,PR,三菱重工相模原ダイナボアーズ（2025-26）,187,125,1996.06.24,29,京都成章高校,帝京大学,京都成章高校 帝京大学,A,56,https://league-one.jp/player/484718,,,日本代表1CAP,,
Daiki Yamagiwa,山極 大貴,LO,三菱重工相模原ダイナボアーズ（2025-26）,198,120,1997.07.24,28,保善高校,専修大学,保善高校 専修大学,A,54,https://league-one.jp/player/484719,,,,,
Yoshiki Yoshioka,吉岡 義喜,SH,三菱重工相模原ダイナボアーズ（2025-26）,167,73,2001.03.17,24,興国高校,東洋大学,興国高校 東洋大学,A,5,https://league-one.jp/player/484720,,,,,
Jose Seru,セル ホゼ,No8,三菱重工相模原ダイナボアーズ（2025-26）,197,117,1991.02.09,34,デラセラカレッジ,マヌカウ工科大学,デラセラカレッジ マヌカウ工科大学,A,34,https://league-one.jp/player/484721,,,,,
Naoto Yasutsune,安恒 直人,HO,三菱重工相模原ダイナボアーズ（2025-26）,172,98,2003.02.05,22,福岡高校,早稲田大学,福岡高校 早稲田大学,A,0,https://league-one.jp/player/484722,,,,,
HANITELI VAILEA,ハニテリ ・ヴァイレア,CTB,三菱重工相模原ダイナボアーズ（2025-26）,181,98,2002.07.12,23,青森山田高校,大東文化大学,青森山田高校 大東文化大学,A,13,https://league-one.jp/player/484723,,,,,
Joape Naco,ジョアペ ・ナコ,CTB,三菱重工相模原ダイナボアーズ（2025-26）,181,98,2002.07.25,23,大分東明高校,日本大学,大分東明高校 日本大学,A,9,https://league-one.jp/player/484724,,,,,
Naoki Kotera,古寺 直希,HO,三菱重工相模原ダイナボアーズ（2025-26）,170,100,2002.12.22,23,石見智翠館高校,近畿大学,石見智翠館高校 近畿大学,A,0,https://league-one.jp/player/484725,,,,,
Yuji Chae,蔡 唯志,PR,三菱重工相模原ダイナボアーズ（2025-26）,175,105,2003.02.09,22,大阪朝鮮高級高校,近畿大学,大阪朝鮮高級高等学校 近畿大学,A,9,https://league-one.jp/player/484726,,,'25 XV,,
Shinnosuke Yamashita,山下 真之介,SO,三菱重工相模原ダイナボアーズ（2025-26）,174,83,2002.06.06,23,流通経済大学柏高校,立命館大学,流通経済大学柏 立命館大学,A,1,https://league-one.jp/player/484727,,,,,
Charlie Lawrence,チャーリー ・ローレンス,CTB,三菱重工相模原ダイナボアーズ（2025-26）,171,90,1998.05.27,27,HamiltonBoysHighSchool,,HamiltonBoysHighSchool,A,55,https://league-one.jp/player/484728,,,日本代表9CAP,,
Changho Ahn,安 昌豪,PR,三菱重工相模原ダイナボアーズ（2025-26）,178,110,1997.11.20,28,大阪朝鮮高級学校,明治大学,大阪朝鮮高級学校 明治大学,A,44,https://league-one.jp/player/484729,,,'17 U20、'17 U23,,
Seunghyok Lee,李 承爀,HO,三菱重工相模原ダイナボアーズ（2025-26）,179,103,1999.01.27,26,大阪朝鮮高級学校,帝京大学,大阪朝鮮高級学校 帝京大学,A,57,https://league-one.jp/player/484730,,,日本代表1CAP,,
Rento Tsukayama,津嘉山 廉人,PR,三菱重工相模原ダイナボアーズ（2025-26）,186,107,1998.09.07,27,流通経済大学附属柏高校,流通経済大学,流通経済大学附属柏高等学校 流通経済大学,A,36,https://league-one.jp/player/484731,,,'18 U20、'18 U23、'19 U23,,
Riku Mishima,三島 琳久,CTB,三菱重工相模原ダイナボアーズ（2025-26）,175,91,2000.09.02,25,大阪桐蔭高校,近畿大学,大阪桐蔭高校 近畿大学,A,2,https://league-one.jp/player/484732,,,,,
Satoshi Koizumi,小泉 怜史,FB,三菱重工相模原ダイナボアーズ（2025-26）,178,87,2000.06.22,25,早稲田実業高校,早稲田大学,早稲田実業 早稲田大学,A,25,https://league-one.jp/player/484733,,,,,
DJ Kashima,加島 DJ,WTB,三菱重工相模原ダイナボアーズ（2025-26）,175,89,2001.03.11,24,湘南工科大附属高校,山梨学院大学,湘南工科大附属高校 山梨学院大学,A,2,https://league-one.jp/player/484734,,,,,
Ryuta Nakamori,中森 隆太,SH,三菱重工相模原ダイナボアーズ（2025-26）,175,75,2000.07.16,25,東福岡高校,立正大学,東福岡高校 立正大学,A,11,https://league-one.jp/player/484735,,,,,
Kanzo Schinckel,シンクル 寛造,PR,三菱重工相模原ダイナボアーズ（2025-26）,187,115,1999.08.20,26,札幌山の手高校,流通経済大学,札幌山の手 流通経済大学,A,19,https://league-one.jp/player/484736,,,'18 高校,,
Mototsugu Hachiya,蜂谷 元紹,PR,三菱重工相模原ダイナボアーズ（2025-26）,180,115,1998.04.07,27,中部大学春日丘高校,中京大学,中部大学春日丘高校 中京大学,A,25,https://league-one.jp/player/484737,,,,,
Tomoaki Ishii,石井 智亮,PR,三菱重工相模原ダイナボアーズ（2025-26）,182,120,1995.08.23,30,生田高校,成蹊大学,生田高校 成蹊大学,A,52,https://league-one.jp/player/484738,,,'25 XV,,
Jun Morimoto,森本 潤,PR,三菱重工相模原ダイナボアーズ（2025-26）,175,115,1996.06.04,29,常翔啓光学園高校,日本大学,常翔啓光学園 日本大学,A,36,https://league-one.jp/player/484739,,,,,
Yuki Miyazato,宮里 侑樹,HO,三菱重工相模原ダイナボアーズ（2025-26）,178,105,1997.01.06,29,名護商工業高校,早稲田大学,名護商工 早稲田大学,A,43,https://league-one.jp/player/484740,,,,,
Epineri Uluiviti,エピネリ ・ウルイヴァイティ,LO,三菱重工相模原ダイナボアーズ（2025-26）,198,125,1996.07.07,29,RatuKadavulevuSchool,,RatuKadavulevuSchool,A,50,https://league-one.jp/player/484741,,,日本代表11CAP,,
Kohki Sato,佐藤 弘樹,FL,三菱重工相模原ダイナボアーズ（2025-26）,179,100,1995.07.22,30,青森北高校,札幌大学,青森北高校 札幌大学,A,22,https://league-one.jp/player/484742,,,,,
Yusuke Sakamoto,坂本 侑翼,FL,三菱重工相模原ダイナボアーズ（2025-26）,176,96,1998.10.25,27,流通経済大学附属柏高校,流通経済大学,流通経済大学附属柏高校 流通経済大学,A,27,https://league-one.jp/player/484743,,,,,
Masataka Tsuruya,鶴谷 昌隆,FL,三菱重工相模原ダイナボアーズ（2025-26）,186,104,1990.10.18,35,青森北高校,筑波大学,青森北高校 筑波大学,A,52,https://league-one.jp/player/484744,,,,,
Kota Iwamura,岩村 昂太,SH,三菱重工相模原ダイナボアーズ（2025-26）,182,87,1993.12.07,32,東福岡高校,同志社大学,東福岡高校 同志社大学,A,59,https://league-one.jp/player/484745,,,,,
Matt Vaega,マット ・ヴァエガ,CTB,三菱重工相模原ダイナボアーズ（2025-26）,179,94,1994.09.07,31,KelstonBoysHighSchool,,KelstonBoysHighSchool,A,50,https://league-one.jp/player/484746,,,,,
Takumi Sugiura,杉浦 拓実,CTB,三菱重工相模原ダイナボアーズ（2025-26）,175,88,1998.08.24,27,東京高校,東海大学,東京高校 東海大学,A,4,https://league-one.jp/player/484747,,,,,
Honeti Taumohaapai,タウモハパイ ホネティ,WTB,三菱重工相模原ダイナボアーズ（2025-26）,180,95,1992.10.02,33,TongaCollege,花園大学,TongaCollege 花園大学,A,43,https://league-one.jp/player/484748,,,,,
Shunsuke Sakamoto,坂本 駿介,PR,三菱重工相模原ダイナボアーズ（2025-26）,180,110,1998.03.13,27,三本木農業高校,日本大学,三本木農業高校 日本大学,A,25,https://league-one.jp/player/484749,,,,,
Songyu Cho,趙 誠悠,FL,三菱重工相模原ダイナボアーズ（2025-26）,185,102,1999.05.13,26,大阪朝鮮高級校高校,日本大学,大阪朝鮮高級校 日本大学,A,2,https://league-one.jp/player/484750,,,,,
Kouki Hattori,服部 航大,FL,三菱重工相模原ダイナボアーズ（2025-26）,177,100,2000.01.16,25,天理高校,天理大学,天理高校 天理大学,A,1,https://league-one.jp/player/484751,,,,,
Kyo Yoshida,吉田 杏,FL,三菱重工相模原ダイナボアーズ（2025-26）,188,108,1995.06.30,30,大阪桐蔭高校,帝京大学,大阪桐蔭高校 帝京大学,A,58,https://league-one.jp/player/484752,,,'25 XV,,
Jack Stratton,ジャック ・ストラトン,SH,三菱重工相模原ダイナボアーズ（2025-26）,185,94,1994.08.21,31,FeildingHighSchool,LincolnUniversity,FeildingHighSchool LincolnUniversity,A,43,https://league-one.jp/player/484753,,,,,
Tonishio Vaiahu,トニシオ バイフ,CTB,三菱重工相模原ダイナボアーズ（2025-26）,177,103,1991.02.12,34,日本航空高校石川,天理大学,日本航空高校石川 天理大学,A,21,https://league-one.jp/player/484754,,,,,
Shoki Yoshimoto,吉本 匠希,FB,三菱重工相模原ダイナボアーズ（2025-26）,182,84,2002.03.05,23,常翔学園高校,立命館大学,常翔学園 立命館大学,A,0,https://league-one.jp/player/484755,,,,,
Shoma Sagawa,佐川 奨茉,HO,三菱重工相模原ダイナボアーズ（2025-26）,180,105,2002.01.20,23,佐野日本大学高校,日本大学,佐野日本大学高等学校 日本大学,A,3,https://league-one.jp/player/484756,,,'25 XV,,
Kohki Matsumoto,松本 光貴,LO,三菱重工相模原ダイナボアーズ（2025-26）,190,107,2001.11.03,24,明治大学附属八王子高校,明治大学,明治大学附属八王子高校 明治大学,A,5,https://league-one.jp/player/484757,,,,,
JAMES GRAYSON,ジェームス ・グレイソン,SO,三菱重工相模原ダイナボアーズ（2025-26）,187,89,1998.06.26,27,Northampton,Boys,Northampton Boys highschool,B,36,https://league-one.jp/player/485067,,,,,
Jackson Hemopo,ジャクソン ・ヘモポ,No8,三菱重工相模原ダイナボアーズ（2025-26）,194,113,1993.11.14,32,ﾊﾟｰﾏｽﾄﾝﾉｰｽﾎﾞｰｲｽ,,ﾊﾟｰﾏｽﾄﾝﾉｰｽﾎﾞｰｲｽ,C,37,https://league-one.jp/player/485068,,,,,
Friedle Olivier,フリードル ・オリヴィエー,FL,三菱重工相模原ダイナボアーズ（2025-26）,197,126,1992.05.27,33,Dr.,Johan,Dr. Johan Jurgens High School University of South Africa,B,7,https://league-one.jp/player/485069,,,,,
MARINO MIKAELE-TU U,マリノ ・ミカエリトゥウ,No8,三菱重工相模原ダイナボアーズ（2025-26）,193,111,1997.11.06,28,登録区分：カテゴリB,,登録区分：カテゴリB,B,24,https://league-one.jp/player/485070,,,,,
Tai Dowling,ダウリング タイ,SO,三菱重工相模原ダイナボアーズ（2025-26）,183,85,2003.07.06,22,Emmanuel,college,Emmanuel college Queensland university of techn,A,1,https://league-one.jp/player/485367,,,,,
Semisi Masirewa,セミシ ・マシレワ,WTB,三菱重工相模原ダイナボアーズ（2025-26）,181,95,1992.06.09,33,フィールディング,,フィールディング高校,A,29,https://league-one.jp/player/485477,,,日本代表7CAP,,
Brad WEBER,ブラッド ・ウェバー,SH,三菱重工相模原ダイナボアーズ（2025-26）,172,75,1991.01.17,34,Napier,Boys',Napier Boys' High School University of Otago,C,0,https://league-one.jp/player/486457,,,,,
Nesta Mahina,ネスタ ・マヒナ,PR,横浜キヤノンイーグルス（2025-26）,171,113,2000.10.28,25,ブリスベンステートハイスクール,,ブリスベンステートハイスクール,A,6,https://league-one.jp/player/484806,,,,,
Kaito Doichi,土一 海人,HO,横浜キヤノンイーグルス（2025-26）,176,100,1999.07.02,26,東海大相模高校,東海大学,東海大相模高校 東海大学,A,2,https://league-one.jp/player/484807,,,'17 高校,,
Yu Chinen,知念 雄,PR,横浜キヤノンイーグルス（2025-26）,183,120,1990.11.18,35,那覇西高校,順天堂大学,那覇西高校 順天堂大学,A,26,https://league-one.jp/player/484808,,,'16 U23、日本代表6CAP,,
Sam Caird,サム ・ケアード,LO,横浜キヤノンイーグルス（2025-26）,202,117,1997.03.18,28,セントピーターズスクール,シドニー大学,セントピーターズスクール シドニー大学,B,3,https://league-one.jp/player/484809,,,,,
Dino Lamb,ディノ ・ラム,LO,横浜キヤノンイーグルス（2025-26）,198,119,1998.04.18,27,クランリースクール,,クランリースクール,C,1,https://league-one.jp/player/484810,,,,,
Daichi Akiyama,秋山 大地,LO,横浜キヤノンイーグルス（2025-26）,192,114,1996.11.14,29,つるぎ,帝京大学,つるぎ高校 帝京大学,A,51,https://league-one.jp/player/484811,,,'16 U20、'16 U23、日本代表2CAP,,
Sione Lavemai,シオネ ・ラベマイ,FL,横浜キヤノンイーグルス（2025-26）,190,120,1994.05.08,31,セントビーズカレッジ,拓殖大学,セントビーズカレッジ 拓殖大学,A,27,https://league-one.jp/player/484812,,,日本代表1CAP,,
Amanaki Saumaki,サウマキ アマナキ,FL,横浜キヤノンイーグルス（2025-26）,189,110,1997.03.08,28,トゥポウカレッジ,,トゥポウカレッジ,A,59,https://league-one.jp/player/484813,,,'25 XV、日本代表5CAP,,
Yuto Mori,森 勇登,UTB,横浜キヤノンイーグルス（2025-26）,174,85,1998.11.14,27,東福岡高校,明治大学,東福岡高校 明治大学,A,47,https://league-one.jp/player/484814,,,'18 U20、'18 U23、'25 XV,,
Levi Aumua,リーバイ ・アウムア,CTB,横浜キヤノンイーグルス（2025-26）,185,107,1994.10.09,31,ブリスベングラマースクール,,ブリスベングラマースクール,B,0,https://league-one.jp/player/484815,,,,,
Jeandre Labuschagne,ジャンドレ ・ラブスカフニ,LO,横浜キヤノンイーグルス（2025-26）,195,106,1999.07.17,26,MaritzburgCollege,,MaritzburgCollege,B,5,https://league-one.jp/player/484816,,,,,
Asahi Doei,土永 旭,SH,横浜キヤノンイーグルス（2025-26）,171,76,2003.01.09,22,光泉カトリック高校,京都産業大学,光泉カトリック高校 京都産業大学,A,3,https://league-one.jp/player/484817,,,'24 XV、'25 XV,,
Aminiasi Shaw,アミニアシ ・ショー,FL,横浜キヤノンイーグルス（2025-26）,185,107,2000.03.13,25,マリストブラザーズ高高校,摂南大学,マリストブラザーズ高 摂南大学,A,1,https://league-one.jp/player/484818,,,,,
Billy Harmon,ビリー ・ハーモン,FL,横浜キヤノンイーグルス（2025-26）,187,104,1994.12.23,31,StBede'sCollege,,StBede'sCollege,B,21,https://league-one.jp/player/484819,,,,,
Brendan Owen,ブレンダン ・オーウェン,UTB,横浜キヤノンイーグルス（2025-26）,192,97,1996.09.23,29,StAndrewsCollege,UniversityofSouthAfrica(UNISA),StAndrewsCollege UniversityofSouthAfrica(UNISA),B,11,https://league-one.jp/player/484820,,,,,
Tomoki Minami,南 友紀,PR,横浜キヤノンイーグルス（2025-26）,172,96,1993.10.23,32,筑紫高校,立命館大学,筑紫高校 立命館大学,A,39,https://league-one.jp/player/484821,,,,,
Masato Furukawa,古川 聖人,FL,横浜キヤノンイーグルス（2025-26）,179,94,1996.12.06,29,東福岡高校,立命館大学,東福岡高校 立命館大学,A,46,https://league-one.jp/player/484822,,,'16 U20、'16 U23、'25 XV、日本代表3CAP,,
Cormac Daly,コルマック ・ダリー,LO,横浜キヤノンイーグルス（2025-26）,199,120,1998.05.01,27,ScoilUiRiadaGaelscoil,MaynoothUniversity,ScoilUiRiadaGaelscoil MaynoothUniversity,B,13,https://league-one.jp/player/484823,,,,,
Faf De Klerk,ファフ ・デクラーク,SH,横浜キヤノンイーグルス（2025-26）,172,88,1991.10.19,34,HoerskoolWaterkloof,,HoerskoolWaterkloof,C,34,https://league-one.jp/player/484824,,,,,
Tatsuro Sugimoto,杉本 達郎,PR,横浜キヤノンイーグルス（2025-26）,175,110,1996.09.30,29,東大阪大学柏原高校,関西大学,東大阪大学柏原高校 関西大学,A,60,https://league-one.jp/player/484825,,,,,
Ryo Eto,江藤 良,CTB,横浜キヤノンイーグルス（2025-26）,181,94,2000.01.09,25,報徳学園高校,明治大学,報徳学園高校 明治大学,A,0,https://league-one.jp/player/484826,,,,,
Sioeli Vakalahi,シオエリ ・ヴァカラヒ,PR,横浜キヤノンイーグルス（2025-26）,178,110,1998.05.15,27,目黒学院高校,福岡工業大学,目黒学院高校 福岡工業大学,A,27,https://league-one.jp/player/484827,,,,,
Sione Halasili,シオネ ・ハラシリ,No8,横浜キヤノンイーグルス（2025-26）,180,120,1999.10.15,26,目黒学院高校,日本大学,目黒学院高校 日本大学,A,46,https://league-one.jp/player/484828,,,,,
Liakimatagi Moli,リアキマタギ ・モリ,LO,横浜キヤノンイーグルス（2025-26）,197,114,1990.01.04,36,StPaul’sCollege,,StPaul’sCollege,A,56,https://league-one.jp/player/484829,,,,,
Viliame Takayawa,ヴィリアメ ・タカヤワ,CTB,横浜キヤノンイーグルス（2025-26）,184,103,1997.02.21,28,KelstonBoysHighSchool,流通経済大学,KelstonBoysHighSchool 流通経済大学,A,52,https://league-one.jp/player/484830,,,,,
Masayoshi Takezawa,竹澤 正祥,WTB,横浜キヤノンイーグルス（2025-26）,176,86,1995.05.05,30,明和県央高校,日本大学,明和県央高校 日本大学,A,46,https://league-one.jp/player/484831,,,'25 XV,,
Yusuke Kajimura,梶村 祐介,CTB,横浜キヤノンイーグルス（2025-26）,181,95,1995.09.13,30,報徳学園高校,明治大学,報徳学園高校 明治大学,A,55,https://league-one.jp/player/484832,,,'15 U20、日本代表7CAP,,
Kazufumi Yamasuga,山菅 一史,SH,横浜キヤノンイーグルス（2025-26）,164,78,1997.12.03,28,東京高校,東海大学,東京高校 東海大学,A,41,https://league-one.jp/player/484833,,,'17 U20,,
Yu Saruta,猿田 湧,FB,横浜キヤノンイーグルス（2025-26）,184,88,1998.06.04,27,秋田工業高校,明治大学,秋田工業高校 明治大学,A,0,https://league-one.jp/player/484834,,,'18 U20,,
Katsuto Kubo,久保 克斗,LO,横浜キヤノンイーグルス（2025-26）,192,108,1998.11.07,27,國學院栃木高校,帝京大学,國學院栃木高校 帝京大学,A,2,https://league-one.jp/player/484835,,,'18 U20、'18 U23,,
Yusaku Miyoshi,三好 優作,PR,横浜キヤノンイーグルス（2025-26）,174,102,1998.05.14,27,松山聖陵高校,明治大学,松山聖陵高校 明治大学,A,4,https://league-one.jp/player/484836,,,,,
Chihito Matsui,松井 千士,WTB,横浜キヤノンイーグルス（2025-26）,183,88,1994.11.11,31,常翔学園高校,同志社大学,常翔学園高校 同志社大学,A,34,https://league-one.jp/player/484837,,,'12 高校、日本代表2CAP,,
Junpei Ogura,小倉 順平,SO,横浜キヤノンイーグルス（2025-26）,172,80,1992.07.11,33,桐蔭学園高校,早稲田大学,桐蔭学園高校 早稲田大学,A,70,https://league-one.jp/player/484838,,,日本代表4CAP,,
Ryuta Yasui,安井 龍太,LO,横浜キヤノンイーグルス（2025-26）,187,105,1989.12.06,36,東海大仰星高校,東海大学,東海大仰星高校 東海大学,A,5,https://league-one.jp/player/484839,,,'08 U20、日本代表2CAP,,
Kazunari Takagi,高木 一成,WTB,横浜キヤノンイーグルス（2025-26）,176,84,1997.06.23,28,慶應義塾高校,慶應義塾大学,慶應義塾高校 慶應義塾大学,A,1,https://league-one.jp/player/484840,,,,,
Shota matsuoka,松岡 将大,PR,横浜キヤノンイーグルス（2025-26）,181,101,1997.07.31,28,近畿大学附属高校,近畿大学,近畿大学附属高校 近畿大学,A,27,https://league-one.jp/player/484841,,,,,
Jesse Kriel,ジェシー ・クリエル,CTB,横浜キヤノンイーグルス（2025-26）,185,95,1994.02.15,31,MaritzburgCollege,UniversityofPretoria,MaritzburgCollege UniversityofPretoria,C,57,https://league-one.jp/player/484842,,,,,
Yu Tamura,田村 優,SO,横浜キヤノンイーグルス（2025-26）,181,92,1989.01.09,36,國學院栃木高校,明治大学,國學院栃木高校 明治大学,A,64,https://league-one.jp/player/484843,,,日本代表70CAP,,
Yusuke Niwai,庭井 祐輔,HO,横浜キヤノンイーグルス（2025-26）,174,95,1991.10.22,34,報徳学園高校,立命館大学,報徳学園 立命館大学,A,57,https://league-one.jp/player/484844,,,'10 U20、'11 U20、日本代表10CAP,,
Toshiki Amano,天野 寿紀,SH,横浜キヤノンイーグルス（2025-26）,170,80,1990.10.27,35,常翔学園高校,帝京大学,常翔学園高校 帝京大学,A,28,https://league-one.jp/player/484845,,,,,
Ryo Tabata,田畑 凌,CTB,横浜キヤノンイーグルス（2025-26）,177,93,1996.07.05,29,報徳学園高校,京都産業大学,報徳学園高校 京都産業大学,A,19,https://league-one.jp/player/484846,,,,,
Takato Okabe,岡部 崇人,PR,横浜キヤノンイーグルス（2025-26）,180,105,1995.02.19,30,上宮高校,関西学院大学,上宮高校 関西学院大学,A,69,https://league-one.jp/player/484847,,,日本代表8CAP,,
Kouki Arai,荒井 康植,SH,横浜キヤノンイーグルス（2025-26）,175,80,1993.05.14,32,佐賀工業高校,帝京大学,佐賀工業高校 帝京大学,A,29,https://league-one.jp/player/484848,,,,,
Ryosuke Iwaihara,祝原 涼介,PR,横浜キヤノンイーグルス（2025-26）,184,115,1996.10.06,29,桐蔭学園高校,明治大学,桐蔭学園高等学校 明治大学,A,52,https://league-one.jp/player/484849,,,'15 U20、'16 U20、'15 U23、日本代表5CAP,,
Shunta Nakamura,中村 駿太,HO,横浜キヤノンイーグルス（2025-26）,176,100,1994.02.28,31,桐蔭学園高校,明治大学,桐蔭学園高等学校 明治大学,A,66,https://league-one.jp/player/484850,,,,,
Ryu Fukuhara,普久原 琉,FB,横浜キヤノンイーグルス（2025-26）,178,85,2000.11.03,25,コザ,日本大学,コザ高校 日本大学,A,7,https://league-one.jp/player/484851,,,,,
Lekima Nasamila,レキマ ・ナサミラ,FL,横浜キヤノンイーグルス（2025-26）,190,123,1998.12.27,27,Leleanmemorialschool,東海大学,Leleanmemorialschool 東海大学,A,11,https://league-one.jp/player/484852,,,,,
Kippei Ishida,石田 吉平,WTB,横浜キヤノンイーグルス（2025-26）,167,74,2000.04.28,25,常翔学園高校,明治大学,常翔学園高校 明治大学,A,18,https://league-one.jp/player/484853,,,日本代表9CAP,,
Yuragi Muto,武藤 ゆらぎ,SO,横浜キヤノンイーグルス（2025-26）,170,77,2001.07.30,24,東海大学付属大阪仰星高校,東海大学,東海大学付属大阪仰星高等学校 東海大学,A,9,https://league-one.jp/player/484854,,,,,
Hayate Hiraishi,平石 颯,HO,横浜キヤノンイーグルス（2025-26）,179,103,2002.02.09,23,桐蔭学園高校,筑波大学,桐蔭学園 筑波大学,A,2,https://league-one.jp/player/484855,,,,,
Randall Baker,ランダル ・ベイカー,FL,横浜キヤノンイーグルス（2025-26）,191,114,2005.09.16,20,ボタニー・ダウンズ・セカンダリ,,ボタニー・ダウンズ・セカンダリ,B,2,https://league-one.jp/player/485911,,,,,
Tomoya Adachi,足立 友哉,HO,リコーブラックラムズ東京（2025-26）,180,115,2004.09.04,21,クリフトンカレッジ,,クリフトンカレッジ,A,0,https://league-one.jp/player/484856,,,,,
Felix Kalapu,フィリックス ・カラプ,LO,リコーブラックラムズ東京（2025-26）,195,118,1999.09.27,26,オークランド・グラマー・スクール,,オークランド・グラマー・スクール,B,2,https://league-one.jp/player/484857,,,,,
Rameka Poihipi,ラメカ ・ポイヒピ,CTB,リコーブラックラムズ東京（2025-26）,183,105,1998.10.14,27,HamiltonBoys'HighSchool,,HamiltonBoys'HighSchool,B,2,https://league-one.jp/player/484858,,,,,
