英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,選手名_カタカナ
Ollie NORRIS,Ollie NORRIS,PR,Chiefs,194,122,1999.12.11,,,,,A,0,https://all.rugby/player/ollie-norris,,Waikato Mooloos (2018 - 2019) -> Chiefs (2019 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),Australia,Australia,https://all.rugby/player/ollie-norris,Waikato Mooloos (2018 - 2019) -> Chiefs (2019 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),オリー・ノリス
Reuben O'NEILL,Reuben O'NEILL,PR,Chiefs,183,117,1995.02.17,,,,,A,0,https://all.rugby/player/reuben-o-neill,,Taranaki Bulls (2014 - 2018) -> Chiefs (2018 - 2019) -> Taranaki Bulls (2019 - 2019) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Crusaders (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Crusaders (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/reuben-o-neill,Taranaki Bulls (2014 - 2018) -> Chiefs (2018 - 2019) -> Taranaki Bulls (2019 - 2019) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Crusaders (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Crusaders (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),ルーベン・オニール
Sione AHIO,Sione AHIO,PR,Chiefs,185,121,2001.01.29,,,,,A,0,https://all.rugby/player/sione-ahio,,Auckland (2020 - 2023) -> Chiefs (2023 - 2023) -> Auckland (2023 - 2023) -> Chiefs (2024 - 2024) -> Auckland (2024 - 2024) -> Chiefs (2024 - 2026),,,https://all.rugby/player/sione-ahio,Auckland (2020 - 2023) -> Chiefs (2023 - 2023) -> Auckland (2023 - 2023) -> Chiefs (2024 - 2024) -> Auckland (2024 - 2024) -> Chiefs (2024 - 2026),シオネ・アヒオ
Brodie MCALISTER,Brodie MCALISTER,HO,Chiefs,182,112,1997.06.17,,,,,A,0,https://all.rugby/player/brodie-mcalister,,Crusaders (2018 - 2019) -> Canterbury (2019 - 2019) -> Crusaders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2021 - 2021) -> Canterbury (2021 - 2021) -> Crusaders (2021 - 2021) -> Canterbury (2021 - 2021) -> Crusaders (2022 - 2022) -> Canterbury (2022 - 2022) -> Crusaders (2022 - 2023) -> Canterbury (2023 - 2023) -> Crusaders (2024 - 2024) -> Canterbury (2024 - 2024) -> Chiefs (2024 - 2024) -> Canterbury (2024 - 2024) -> Chiefs (2025 - 2025) -> Canterbury (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/brodie-mcalister,Crusaders (2018 - 2019) -> Canterbury (2019 - 2019) -> Crusaders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2021 - 2021) -> Canterbury (2021 - 2021) -> Crusaders (2021 - 2021) -> Canterbury (2021 - 2021) -> Crusaders (2022 - 2022) -> Canterbury (2022 - 2022) -> Crusaders (2022 - 2023) -> Canterbury (2023 - 2023) -> Crusaders (2024 - 2024) -> Canterbury (2024 - 2024) -> Chiefs (2024 - 2024) -> Canterbury (2024 - 2024) -> Chiefs (2025 - 2025) -> Canterbury (2025 - 2025) -> Chiefs (2025 - 2026),ブロディー-マカリスター
Samisoni TAUKEI'AHO,Samisoni TAUKEI'AHO,HO,Chiefs,183,118,1997.08.08,,,,,A,0,https://all.rugby/player/samisoni-taukei-aho,,Chiefs (2016 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2026),Tonga,Tonga,https://all.rugby/player/samisoni-taukei-aho,Chiefs (2016 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2026),サミソニ・タウケイアホ
Taine KOLOSE,Taine KOLOSE,HO,Chiefs,187,120,2003.02.25,,,,,A,0,https://all.rugby/player/taine-kolose,,Bay of Plenty Steamers (2022 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/taine-kolose,Bay of Plenty Steamers (2022 - 2025) -> Chiefs (2025 - 2026),テイン・コロセ
Tyrone THOMPSON,Tyrone THOMPSON,HO,Chiefs,186,111,2000.05.28,,,,,A,0,https://all.rugby/player/tyrone-thompson,,Wellington Lions (2019 - 2021) -> Chiefs (2021 - 2021) -> Hawke's Bay Magpies (2021 - 2021) -> Chiefs (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Chiefs (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Chiefs (2023 - 2023) -> Hawke's Bay Magpies (2023 - 2023) -> Chiefs (2023 - 2023) -> Hawke's Bay Magpies (2023 - 2023) -> Chiefs (2024 - 2024) -> Hawke's Bay Magpies (2024 - 2024) -> Newcastle Knights (2024 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/tyrone-thompson,Wellington Lions (2019 - 2021) -> Chiefs (2021 - 2021) -> Hawke's Bay Magpies (2021 - 2021) -> Chiefs (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Chiefs (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Chiefs (2023 - 2023) -> Hawke's Bay Magpies (2023 - 2023) -> Chiefs (2023 - 2023) -> Hawke's Bay Magpies (2023 - 2023) -> Chiefs (2024 - 2024) -> Hawke's Bay Magpies (2024 - 2024) -> Newcastle Knights (2024 - 2025) -> Chiefs (2025 - 2026),タイローン-トンプソン
Aisake VAKASIUOLA,Aisake VAKASIUOLA,LO,Chiefs,197,122,2005..,,,,,A,0,https://all.rugby/player/aisake-vakasiuola,,Bay of Plenty Steamers (2023 - 2024) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2025 - 2025) -> Bay of Plenty Steamers (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/aisake-vakasiuola,Bay of Plenty Steamers (2023 - 2024) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2025 - 2025) -> Bay of Plenty Steamers (2025 - 2025) -> Chiefs (2025 - 2026),アイサケ・バカシウオラ
Fiti SA,Fiti SA,LO,Chiefs,202,125,2003.04.04,,,,,A,0,https://all.rugby/player/fiti-sa,,Taranaki Bulls (2022 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/fiti-sa,Taranaki Bulls (2022 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),フィティ・サ
Jayden SA,Jayden SA,LO,Chiefs,196,117,2005..,,,,,A,0,https://all.rugby/player/jayden-sa,,Crusaders (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Crusaders (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/jayden-sa,Crusaders (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Crusaders (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),ジェイデン-サ
Josh LORD,Josh LORD,LO,Chiefs,202,113,2001.01.17,,,,,A,0,https://all.rugby/player/josh-lord,,Taranaki Bulls (2018 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/josh-lord,Taranaki Bulls (2018 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),ジョシュ・ロード
Naitoa AH KUOI,Naitoa AH KUOI,LO,Chiefs,196,116,1999.10.07,,,,,A,0,https://all.rugby/player/naitoa-ah-kuoi,,Wellington Lions (2018 - 2019) -> Chiefs (2019 - 2019) -> Wellington Lions (2019 - 2019) -> Chiefs (2020 - 2020) -> Wellington Lions (2020 - 2020) -> Chiefs (2020 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2025 - 2025) -> Bay of Plenty Steamers (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/naitoa-ah-kuoi,Wellington Lions (2018 - 2019) -> Chiefs (2019 - 2019) -> Wellington Lions (2019 - 2019) -> Chiefs (2020 - 2020) -> Wellington Lions (2020 - 2020) -> Chiefs (2020 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2025 - 2025) -> Bay of Plenty Steamers (2025 - 2025) -> Chiefs (2025 - 2026),ナイトア・アー・クオイ
Tupou VAA'I,Tupou VAA'I,LO,Chiefs,198,118,2000.01.27,,,,,A,0,https://all.rugby/player/tupou-va-ai,,Taranaki Bulls (2018 - 2019) -> Chiefs (2019 - 2019) -> Taranaki Bulls (2019 - 2019) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2022 - 2026),New Zealand,New Zealand,https://all.rugby/player/tupou-va-ai,Taranaki Bulls (2018 - 2019) -> Chiefs (2019 - 2019) -> Taranaki Bulls (2019 - 2019) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2022 - 2026),トゥポウ-ヴァアイ
Jahrome BROWN,Jahrome BROWN,Back row,Chiefs,189,105,1996.09.29,,,,,A,0,https://all.rugby/player/jahrome-brown,,Brumbies (2018 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/jahrome-brown,Brumbies (2018 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),ジャローム-ブラウン
Kaylum BOSHIER,Kaylum BOSHIER,Back row,Chiefs,189,109,1999.04.09,,,,,A,0,https://all.rugby/player/kaylum-boshier,,Taranaki Bulls (2018 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/kaylum-boshier,Taranaki Bulls (2018 - 2020) -> Chiefs (2020 - 2020) -> Taranaki Bulls (2020 - 2020) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2021 - 2021) -> Taranaki Bulls (2021 - 2021) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2022 - 2022) -> Taranaki Bulls (2022 - 2022) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2023 - 2023) -> Taranaki Bulls (2023 - 2023) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2024 - 2024) -> Taranaki Bulls (2024 - 2024) -> Chiefs (2025 - 2025) -> Taranaki Bulls (2025 - 2025) -> Chiefs (2025 - 2026),ケイラム・ボシア
Luke JACOBSON,Luke JACOBSON,Back row,Chiefs,191,107,1997.04.20,,,,,A,0,https://all.rugby/player/luke-jacobson,,Chiefs (2017 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),New Zealand,New Zealand,https://all.rugby/player/luke-jacobson,Chiefs (2017 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),ルーク・ジェイコブソン
Samipeni FINAU,Samipeni FINAU,Back row,Chiefs,196,115,1999.05.10,,,,,A,0,https://all.rugby/player/samipeni-finau,,Waikato Mooloos (2018 - 2020) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),Tonga,Tonga,https://all.rugby/player/samipeni-finau,Waikato Mooloos (2018 - 2020) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),サミペニ・フィナウ
Simon PARKER,Simon PARKER,Back row,Chiefs,193,109,2000.05.06,,,,,A,0,https://all.rugby/player/simon-parker,,Chiefs (2019 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Northland Taniwha (2023 - 2023) -> Chiefs (2024 - 2024) -> Northland Taniwha (2024 - 2024) -> Chiefs (2024 - 2024) -> Northland Taniwha (2024 - 2024) -> Chiefs (2025 - 2025) -> Northland Taniwha (2025 - 2025) -> Chiefs (2025 - 2026),New Zealand,New Zealand,https://all.rugby/player/simon-parker,Chiefs (2019 - 2019) -> Waikato Mooloos (2019 - 2019) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2020 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Northland Taniwha (2023 - 2023) -> Chiefs (2024 - 2024) -> Northland Taniwha (2024 - 2024) -> Chiefs (2024 - 2024) -> Northland Taniwha (2024 - 2024) -> Chiefs (2025 - 2025) -> Northland Taniwha (2025 - 2025) -> Chiefs (2025 - 2026),サイモン・パーカー
Wallace SITITI,Wallace SITITI,Back row,Chiefs,185,113,2002.09.07,,,,,A,0,https://all.rugby/player/wallace-sititi,,North Harbour (2021 - 2023) -> Chiefs (2023 - 2023) -> North Harbour (2023 - 2023) -> Chiefs (2024 - 2024) -> North Harbour (2024 - 2024) -> Chiefs (2024 - 2026),New Zealand,New Zealand,https://all.rugby/player/wallace-sititi,North Harbour (2021 - 2023) -> Chiefs (2023 - 2023) -> North Harbour (2023 - 2023) -> Chiefs (2024 - 2024) -> North Harbour (2024 - 2024) -> Chiefs (2024 - 2026),ウォレス・シティティ
Cortez RATIMA,Cortez RATIMA,SH,Chiefs,179,87,2001.03.22,,,,,A,0,https://all.rugby/player/cortez-ratima,,Waikato Mooloos (2019 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2026),New Zealand,New Zealand,https://all.rugby/player/cortez-ratima,Waikato Mooloos (2019 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2026),コルテス-ラティマ
Te Toiroa TAHURIORANGI,Te Toiroa TAHURIORANGI,SH,Chiefs,174,85,1995.03.31,,,,,A,0,https://all.rugby/player/te-toiroa-tahuriorangi,,Hurricanes (2015 - 2017) -> Chiefs (2017 - 2019) -> Bay of Plenty Steamers (2019 - 2019) -> Chiefs (2020 - 2020) -> Bay of Plenty Steamers (2020 - 2020) -> Chiefs (2020 - 2020) -> Bay of Plenty Steamers (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Crusaders (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Crusaders (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2024 - 2026),New Zealand,New Zealand,https://all.rugby/player/te-toiroa-tahuriorangi,Hurricanes (2015 - 2017) -> Chiefs (2017 - 2019) -> Bay of Plenty Steamers (2019 - 2019) -> Chiefs (2020 - 2020) -> Bay of Plenty Steamers (2020 - 2020) -> Chiefs (2020 - 2020) -> Bay of Plenty Steamers (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Crusaders (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Crusaders (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2023 - 2023) -> Bay of Plenty Steamers (2023 - 2023) -> Chiefs (2024 - 2024) -> Bay of Plenty Steamers (2024 - 2024) -> Chiefs (2024 - 2026),テ・トイロア・タフリオランギ
Xavier ROE,Xavier ROE,SH,Chiefs,179,86,1998.12.13,,,,,A,0,https://all.rugby/player/xavier-roe,,Taranaki Bulls (2017 - 2019) -> Waikato Mooloos (2019 - 2020) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),,,https://all.rugby/player/xavier-roe,Taranaki Bulls (2017 - 2019) -> Waikato Mooloos (2019 - 2020) -> Chiefs (2020 - 2020) -> Waikato Mooloos (2020 - 2020) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2021 - 2021) -> Waikato Mooloos (2021 - 2021) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2022 - 2022) -> Waikato Mooloos (2022 - 2022) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Chiefs (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Chiefs (2025 - 2026),ザビエル・ロー
