英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,URL,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Ignacio MENDY,Ignacio MENDY,Winger,Trévise,187,90,2000.06.29,,,,,A,https://all.rugby/player/ignacio-mendy,Jaguares (2018 - 2019) -> Los Tilos (2020 - 2021) -> Jaguares XV (2021 - 2021) -> Los Tilos (2021 - 2021) -> Jaguares XV (2022 - 2022) -> Los Tilos (2022 - 2022) -> Benetton Rugby Trévise (2022 - 2026),Argentina,Argentina,https://all.rugby/player/ignacio-mendy,Jaguares (2018 - 2019) -> Los Tilos (2020 - 2021) -> Jaguares XV (2021 - 2021) -> Los Tilos (2021 - 2021) -> Jaguares XV (2022 - 2022) -> Los Tilos (2022 - 2022) -> Benetton Rugby Trévise (2022 - 2026)
Louis LYNAGH,Louis LYNAGH,Winger,Trévise,187,96,2000.12.03,,,,,A,https://all.rugby/player/louis-lynagh,Harlequins (2019 - 2022) -> London Scottish (2022 - 2022) -> Harlequins (2023 - 2023) -> London Scottish (2023 - 2023) -> Harlequins (2023 - 2024) -> Benetton Rugby Trévise (2024 - 2026),Australia,Australia,https://all.rugby/player/louis-lynagh,Harlequins (2019 - 2022) -> London Scottish (2022 - 2022) -> Harlequins (2023 - 2023) -> London Scottish (2023 - 2023) -> Harlequins (2023 - 2024) -> Benetton Rugby Trévise (2024 - 2026)
Onisi RATAVE,Onisi RATAVE,Winger,Trévise,179,100,1992.06.06,,,,,A,https://all.rugby/player/onisi-ratave,Bay of Plenty Steamers (2020 - 2021) -> Fijian Drua (2021 - 2022) -> Benetton Rugby Trévise (2022 - 2026),,,https://all.rugby/player/onisi-ratave,Bay of Plenty Steamers (2020 - 2021) -> Fijian Drua (2021 - 2022) -> Benetton Rugby Trévise (2022 - 2026)
Paolo ODOGWU,Paolo ODOGWU,Winger,Trévise,175,100,1997.02.18,,,,,A,https://all.rugby/player/paulo-odogwu,Leicester Tigers (2015 - 2016) -> Sale Sharks (2016 - 2019) -> Wasps (2019 - 2022) -> Stade Français Paris Rugby (2022 - 2022) -> Wasps (2023 - 2023) -> Stade Français Paris Rugby (2023 - 2023) -> Benetton Rugby Trévise (2023 - 2026),England,England,https://all.rugby/player/paulo-odogwu,Leicester Tigers (2015 - 2016) -> Sale Sharks (2016 - 2019) -> Wasps (2019 - 2022) -> Stade Français Paris Rugby (2022 - 2022) -> Wasps (2023 - 2023) -> Stade Français Paris Rugby (2023 - 2023) -> Benetton Rugby Trévise (2023 - 2026)
Matt GALLAGHER,Matt GALLAGHER,FB,Trévise,185,96,1996.10.26,,,,,A,https://all.rugby/player/matt-gallagher,Saracens (2016 - 2019) -> Munster Rugby (2019 - 2019) -> Saracens (2020 - 2020) -> Munster Rugby (2020 - 2022) -> Bath Rugby (2022 - 2024) -> Benetton Rugby Trévise (2024 - 2026),,,https://all.rugby/player/matt-gallagher,Saracens (2016 - 2019) -> Munster Rugby (2019 - 2019) -> Saracens (2020 - 2020) -> Munster Rugby (2020 - 2022) -> Bath Rugby (2022 - 2024) -> Benetton Rugby Trévise (2024 - 2026)
Rhyno SMITH,Rhyno SMITH,FB,Trévise,173,83,1993.02.11,,,,,A,https://all.rugby/player/rhyno-smith,Sharks (2015 - 2017) -> Central Cheetahs (2018 - 2018) -> Sharks (2018 - 2018) -> Central Cheetahs (2019 - 2019) -> Sharks (2019 - 2019) -> Central Cheetahs (2019 - 2021) -> Benetton Rugby Trévise (2021 - 2026),,,https://all.rugby/player/rhyno-smith,Sharks (2015 - 2017) -> Central Cheetahs (2018 - 2018) -> Sharks (2018 - 2018) -> Central Cheetahs (2019 - 2019) -> Sharks (2019 - 2019) -> Central Cheetahs (2019 - 2021) -> Benetton Rugby Trévise (2021 - 2026)
Henry Tasesa VOLKMAN,Henry Tasesa VOLKMAN,LO,Trévise,200,125,,,,,,A,https://all.rugby/player/henry-tasesa-volkman,Canberra Royals (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/henry-tasesa-volkman,Canberra Royals (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026)
Marco SPREAFICHI,Marco SPREAFICHI,LO,Trévise,196,102,2006..,,,,,A,https://all.rugby/player/marco-spreafichi,Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/marco-spreafichi,Benetton Rugby Trévise (2025 - 2026)
Nelson CASARTELLI,Nelson CASARTELLI,Back row,Trévise,182,100,2005..,,,,,A,https://all.rugby/player/nelson-casartelli,Benetton Rugby Trévise (2023 - 2024) -> Paese Rugby (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/nelson-casartelli,Benetton Rugby Trévise (2023 - 2024) -> Paese Rugby (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026)
Roberto FASTI,Roberto FASTI,SO,Trévise,176,83,2006..,,,,,A,https://all.rugby/player/roberto-fasti,Rugby Casale (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/roberto-fasti,Rugby Casale (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026)
Giovanni MARZOTTO,Giovanni MARZOTTO,Winger,Trévise,193,94,2007..,,,,,A,https://all.rugby/player/giovanni-marzotto,Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/giovanni-marzotto,Benetton Rugby Trévise (2025 - 2026)
Chris COLEMAN,Chris COLEMAN,PR,Dragons,189,130,1998.08.31,,,,,A,https://all.rugby/player/chris-coleman,Dragons RFC (2017 - 2026),,,https://all.rugby/player/chris-coleman,Dragons RFC (2017 - 2026)
Dillon LEWIS,Dillon LEWIS,PR,Dragons,185,125,1996.01.04,,,,,A,https://all.rugby/player/dillon-lewis,Cardiff Rugby (2015 - 2023) -> Harlequins (2023 - 2025) -> Dragons RFC (2025 - 2026),Wales,Wales,https://all.rugby/player/dillon-lewis,Cardiff Rugby (2015 - 2023) -> Harlequins (2023 - 2025) -> Dragons RFC (2025 - 2026)
Dylan KELLEHER-GRIFFITHS,Dylan KELLEHER-GRIFFITHS,PR,Dragons,180,116,2003.06.28,,,,,A,https://all.rugby/player/dylan-kelleher-griffiths,Dragons RFC (2022 - 2026),,,https://all.rugby/player/dylan-kelleher-griffiths,Dragons RFC (2022 - 2026)
Luke YENDLE,Luke YENDLE,PR,Dragons,185,120,2000.06.27,,,,,A,https://all.rugby/player/luke-yendle,Dragons RFC (2018 - 2021) -> Jersey Reds (2021 - 2021) -> Dragons RFC (2022 - 2022) -> Jersey Reds (2022 - 2022) -> Dragons RFC (2022 - 2023) -> Ampthill Rugby (2023 - 2023) -> Dragons RFC (2023 - 2023) -> Ampthill Rugby (2024 - 2024) -> Dragons RFC (2024 - 2025) -> Harlequins (2025 - 2025) -> Dragons RFC (2026 - 2026) -> Harlequins (2026 - 2026),,,https://all.rugby/player/luke-yendle,Dragons RFC (2018 - 2021) -> Jersey Reds (2021 - 2021) -> Dragons RFC (2022 - 2022) -> Jersey Reds (2022 - 2022) -> Dragons RFC (2022 - 2023) -> Ampthill Rugby (2023 - 2023) -> Dragons RFC (2023 - 2023) -> Ampthill Rugby (2024 - 2024) -> Dragons RFC (2024 - 2025) -> Harlequins (2025 - 2025) -> Dragons RFC (2026 - 2026) -> Harlequins (2026 - 2026)
Rhodri JONES,Rhodri JONES,PR,Dragons,191,120,1991.12.23,,,,,A,https://all.rugby/player/rhodri-jones,Scarlets (2013 - 2016) -> Ospreys (2016 - 2022) -> Dragons RFC (2022 - 2026),Wales,Wales,https://all.rugby/player/rhodri-jones,Scarlets (2013 - 2016) -> Ospreys (2016 - 2022) -> Dragons RFC (2022 - 2026)
Robert HUNT,Robert HUNT,PR,Dragons,185,124,1996.08.16,,,,,A,https://all.rugby/player/robert-hunt,Leopards (2016 - 2019) -> Bulls (2021 - 2024) -> Central Cheetahs (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/robert-hunt,Leopards (2016 - 2019) -> Bulls (2021 - 2024) -> Central Cheetahs (2024 - 2025) -> Dragons RFC (2025 - 2026)
Rodrigo MARTINEZ,Rodrigo MARTINEZ,PR,Dragons,188,120,1998.07.07,,,,,A,https://all.rugby/player/rodrigo-martinez,Dogos XV (2019 - 2020) -> Yacare XV (2020 - 2021) -> Wasps (2021 - 2023) -> Dragons RFC (2023 - 2026),,,https://all.rugby/player/rodrigo-martinez,Dogos XV (2019 - 2020) -> Yacare XV (2020 - 2021) -> Wasps (2021 - 2023) -> Dragons RFC (2023 - 2026)
Wyn JONES,Wyn JONES,PR,Dragons,184,114,1992.02.26,,,,,A,https://all.rugby/player/wyn-jones,Scarlets (2014 - 2024) -> Harlequins (2024 - 2025) -> Dragons RFC (2025 - 2026),Wales,Wales,https://all.rugby/player/wyn-jones,Scarlets (2014 - 2024) -> Harlequins (2024 - 2025) -> Dragons RFC (2025 - 2026)
Brodie COGHLAN,Brodie COGHLAN,HO,Dragons,183,112,2000.12.21,,,,,A,https://all.rugby/player/brodie-coghlan,Dragons RFC (2021 - 2026),,,https://all.rugby/player/brodie-coghlan,Dragons RFC (2021 - 2026)
Elliot DEE,Elliot DEE,HO,Dragons,186,106,1994.03.07,,,,,A,https://all.rugby/player/elliot-dee,Dragons RFC (2013 - 2026),Wales,Wales,https://all.rugby/player/elliot-dee,Dragons RFC (2013 - 2026)
George ROBERTS,George ROBERTS,HO,Dragons,183,105,1997.12.24,,,,,A,https://all.rugby/player/george-roberts,RGC 1404 (2019 - 2020) -> Doncaster Knights (2020 - 2025) -> Dragons RFC (2025 - 2025) -> Doncaster Knights (2026 - 2026) -> Dragons RFC (2026 - 2026),,,https://all.rugby/player/george-roberts,RGC 1404 (2019 - 2020) -> Doncaster Knights (2020 - 2025) -> Dragons RFC (2025 - 2025) -> Doncaster Knights (2026 - 2026) -> Dragons RFC (2026 - 2026)
James BENJAMIN,James BENJAMIN,HO,Dragons,183,100,1994.02.21,,,,,A,https://all.rugby/player/james-benjamin,Dragons RFC (2014 - 2021) -> Cornish Pirates (2021 - 2021) -> Dragons RFC (2021 - 2021) -> Cornish Pirates (2022 - 2022) -> Dragons RFC (2022 - 2022) -> Hartpury RFC (2022 - 2022) -> Dragons RFC (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Dragons RFC (2023 - 2026),,,https://all.rugby/player/james-benjamin,Dragons RFC (2014 - 2021) -> Cornish Pirates (2021 - 2021) -> Dragons RFC (2021 - 2021) -> Cornish Pirates (2022 - 2022) -> Dragons RFC (2022 - 2022) -> Hartpury RFC (2022 - 2022) -> Dragons RFC (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Dragons RFC (2023 - 2026)
Oli BURROWS,Oli BURROWS,HO,Dragons,188,110,2002.05.16,,,,,A,https://all.rugby/player/oli-burrows,Exeter Chiefs (2020 - 2023) -> Cornish Pirates (2023 - 2023) -> Exeter Chiefs (2023 - 2023) -> Cornish Pirates (2024 - 2024) -> Exeter Chiefs (2024 - 2024) -> Dragons RFC (2024 - 2026),,,https://all.rugby/player/oli-burrows,Exeter Chiefs (2020 - 2023) -> Cornish Pirates (2023 - 2023) -> Exeter Chiefs (2023 - 2023) -> Cornish Pirates (2024 - 2024) -> Exeter Chiefs (2024 - 2024) -> Dragons RFC (2024 - 2026)
Sam SCARFE,Sam SCARFE,HO,Dragons,180,101,2003.08.23,,,,,A,https://all.rugby/player/sam-scarfe,Dragons RFC (2022 - 2023) -> Gloucester Rugby (2023 - 2023) -> Dragons RFC (2023 - 2023) -> Gloucester Rugby (2024 - 2024) -> Dragons RFC (2024 - 2026),,,https://all.rugby/player/sam-scarfe,Dragons RFC (2022 - 2023) -> Gloucester Rugby (2023 - 2023) -> Dragons RFC (2023 - 2023) -> Gloucester Rugby (2024 - 2024) -> Dragons RFC (2024 - 2026)
Barny LANGTON,Barny LANGTON,LO,Dragons,195,117,2001.01.26,,,,,A,https://all.rugby/player/barny-langton,Cardiff Met RFC (2022 - 2023) -> Dragons RFC (2023 - 2025) -> Harlequins (2025 - 2025) -> Dragons RFC (2026 - 2026) -> Harlequins (2026 - 2026),,,https://all.rugby/player/barny-langton,Cardiff Met RFC (2022 - 2023) -> Dragons RFC (2023 - 2025) -> Harlequins (2025 - 2025) -> Dragons RFC (2026 - 2026) -> Harlequins (2026 - 2026)
Ben CARTER,Ben CARTER,LO,Dragons,198,122,2001.01.23,,,,,A,https://all.rugby/player/ben-carter,Dragons RFC (2018 - 2026),,,https://all.rugby/player/ben-carter,Dragons RFC (2018 - 2026)
Levi DOUGLAS,Levi DOUGLAS,LO,Dragons,196,125,1995.09.01,,,,,A,https://all.rugby/player/levi-douglas,Bath Rugby (2015 - 2019) -> Wasps (2019 - 2019) -> Bath Rugby (2020 - 2020) -> Wasps (2020 - 2020) -> Rugby Club Toulonnais (2020 - 2020) -> Wasps (2021 - 2021) -> Rugby Club Toulonnais (2021 - 2021) -> FC Grenoble Rugby (2021 - 2023) -> Urayasu D-Rocks (2023 - 2024) -> Biarritz Olympique Pays Basque (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/levi-douglas,Bath Rugby (2015 - 2019) -> Wasps (2019 - 2019) -> Bath Rugby (2020 - 2020) -> Wasps (2020 - 2020) -> Rugby Club Toulonnais (2020 - 2020) -> Wasps (2021 - 2021) -> Rugby Club Toulonnais (2021 - 2021) -> FC Grenoble Rugby (2021 - 2023) -> Urayasu D-Rocks (2023 - 2024) -> Biarritz Olympique Pays Basque (2024 - 2025) -> Dragons RFC (2025 - 2026)
Matthew SCREECH,Matthew SCREECH,LO,Dragons,196,116,1992.10.24,,,,,A,https://all.rugby/player/matthew-screech,Dragons RFC (2013 - 2021) -> Cardiff Rugby (2021 - 2022) -> Dragons RFC (2022 - 2022) -> Cardiff Rugby (2023 - 2023) -> Dragons RFC (2023 - 2026),,,https://all.rugby/player/matthew-screech,Dragons RFC (2013 - 2021) -> Cardiff Rugby (2021 - 2022) -> Dragons RFC (2022 - 2022) -> Cardiff Rugby (2023 - 2023) -> Dragons RFC (2023 - 2026)
Seb DAVIES,Seb DAVIES,LO,Dragons,202,119,1996.05.17,,,,,A,https://all.rugby/player/seb-davies,Cardiff Rugby (2016 - 2025) -> Dragons RFC (2025 - 2026),Wales,Wales,https://all.rugby/player/seb-davies,Cardiff Rugby (2016 - 2025) -> Dragons RFC (2025 - 2026)
Aaron WAINWRIGHT,Aaron WAINWRIGHT,Back row,Dragons,188,110,1997.09.25,,,,,A,https://all.rugby/player/aaron-wainwright,Dragons RFC (2017 - 2026),Wales,Wales,https://all.rugby/player/aaron-wainwright,Dragons RFC (2017 - 2026)
Harri KEDDIE,Harri KEDDIE,Back row,Dragons,188,110,1996.07.10,,,,,A,https://all.rugby/player/harrison-keddie,Dragons RFC (2015 - 2026),,,https://all.rugby/player/harrison-keddie,Dragons RFC (2015 - 2026)
Mackenzie MARTIN,Mackenzie MARTIN,Back row,Dragons,196,116,2003.10.26,,,,,A,https://all.rugby/player/mackenzie-martin,Cardiff Rugby (2021 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/mackenzie-martin,Cardiff Rugby (2021 - 2025) -> Dragons RFC (2025 - 2026)
Ryan WOODMAN,Ryan WOODMAN,Back row,Dragons,196,107,2004.02.02,,,,,A,https://all.rugby/player/ryan-woodman,Dragons RFC (2020 - 2026),,,https://all.rugby/player/ryan-woodman,Dragons RFC (2020 - 2026)
Shane LEWIS-HUGHES,Shane LEWIS-HUGHES,Back row,Dragons,196,115,1997.09.20,,,,,A,https://all.rugby/player/shane-lewis-hughes,Cardiff Rugby (2016 - 2024) -> Dragons RFC (2024 - 2026),Wales,Wales,https://all.rugby/player/shane-lewis-hughes,Cardiff Rugby (2016 - 2024) -> Dragons RFC (2024 - 2026)
Tom YOUNG,Tom YOUNG,Back row,Dragons,181,104,1992.05.18,,,,,A,https://all.rugby/player/tom-young,Gloucester Rugby (2013 - 2013) -> Cardiff Rugby (2013 - 2013) -> Gloucester Rugby (2014 - 2014) -> Cardiff Rugby (2014 - 2014) -> Wasps (2014 - 2022) -> Cardiff Rugby (2022 - 2025) -> Dragons RFC (2025 - 2026),Wales,Wales,https://all.rugby/player/tom-young,Gloucester Rugby (2013 - 2013) -> Cardiff Rugby (2013 - 2013) -> Gloucester Rugby (2014 - 2014) -> Cardiff Rugby (2014 - 2014) -> Wasps (2014 - 2022) -> Cardiff Rugby (2022 - 2025) -> Dragons RFC (2025 - 2026)
Che HOPE,Che HOPE,SH,Dragons,178,76,2003.01.10,,,,,A,https://all.rugby/player/che-hope,Dragons RFC (2020 - 2026),,,https://all.rugby/player/che-hope,Dragons RFC (2020 - 2026)
Morgan LLOYD,Morgan LLOYD,SH,Dragons,175,84,2002.10.08,,,,,A,https://all.rugby/player/morgan-lloyd,Dragons RFC (2021 - 2022) -> Hartpury RFC (2022 - 2022) -> Dragons RFC (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Dragons RFC (2023 - 2026),,,https://all.rugby/player/morgan-lloyd,Dragons RFC (2021 - 2022) -> Hartpury RFC (2022 - 2022) -> Dragons RFC (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Dragons RFC (2023 - 2026)
Niall ARMSTRONG,Niall ARMSTRONG,SH,Dragons,182,85,1999.08.19,,,,,A,https://all.rugby/player/niall-armstrong,Exeter University RFC (2021 - 2023) -> Exeter Chiefs (2023 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/niall-armstrong,Exeter University RFC (2021 - 2023) -> Exeter Chiefs (2023 - 2025) -> Dragons RFC (2025 - 2026)
Rhodri WILLIAMS,Rhodri WILLIAMS,SH,Dragons,179,81,1993.05.05,,,,,A,https://all.rugby/player/rhodri-williams,Scarlets (2013 - 2016) -> Bristol Bears (2016 - 2017) -> Dragons RFC (2018 - 2026),Wales,Wales,https://all.rugby/player/rhodri-williams,Scarlets (2013 - 2016) -> Bristol Bears (2016 - 2017) -> Dragons RFC (2018 - 2026)
Angus O'BRIEN,Angus O'BRIEN,SO,Dragons,180,89,1994.09.17,,,,,A,https://all.rugby/player/angus-o-brien,Dragons RFC (2014 - 2018) -> Scarlets (2018 - 2022) -> Dragons RFC (2022 - 2026),,,https://all.rugby/player/angus-o-brien,Dragons RFC (2014 - 2018) -> Scarlets (2018 - 2022) -> Dragons RFC (2022 - 2026)
Cai EVANS,Cai EVANS,SO,Dragons,185,84,1999.06.23,,,,,A,https://all.rugby/player/cai-evans,Ospreys (2017 - 2023) -> Dragons RFC (2023 - 2026),Wales,Wales,https://all.rugby/player/cai-evans,Ospreys (2017 - 2023) -> Dragons RFC (2023 - 2026)
Jac LLOYD,Jac LLOYD,SO,Dragons,174,81,2002.09.28,,,,,A,https://all.rugby/player/jac-lloyd,Bristol Bears (2019 - 2022) -> Hartpury RFC (2022 - 2022) -> Sydney University Football Club (2022 - 2022) -> Bristol Bears (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Sydney University Football Club (2023 - 2023) -> Newport RFC (2023 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/jac-lloyd,Bristol Bears (2019 - 2022) -> Hartpury RFC (2022 - 2022) -> Sydney University Football Club (2022 - 2022) -> Bristol Bears (2023 - 2023) -> Hartpury RFC (2023 - 2023) -> Sydney University Football Club (2023 - 2023) -> Newport RFC (2023 - 2025) -> Dragons RFC (2025 - 2026)
Tinus DE BEER,Tinus DE BEER,SO,Dragons,176,90,1996.01.24,,,,,A,https://all.rugby/player/tinus-de-beer,Bulls (2016 - 2017) -> Griquas (2019 - 2021) -> Pumas (2021 - 2023) -> Cardiff Rugby (2023 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/tinus-de-beer,Bulls (2016 - 2017) -> Griquas (2019 - 2021) -> Pumas (2021 - 2023) -> Cardiff Rugby (2023 - 2025) -> Dragons RFC (2025 - 2026)
Aneurin OWEN,Aneurin OWEN,CTB,Dragons,180,89,2000.10.19,,,,,A,https://all.rugby/player/aneurin-owen,Dragons RFC (2018 - 2026),,,https://all.rugby/player/aneurin-owen,Dragons RFC (2018 - 2026)
Fetuli PAEA,Fetuli PAEA,CTB,Dragons,190,104,1994.08.16,,,,,A,https://all.rugby/player/fetuli-moe-ata-paea,Tasman Mako (2018 - 2019) -> Crusaders (2019 - 2019) -> Tasman Mako (2019 - 2019) -> Crusaders (2020 - 2020) -> Tasman Mako (2020 - 2020) -> Highlanders (2020 - 2020) -> Tasman Mako (2020 - 2020) -> Highlanders (2021 - 2021) -> Tasman Mako (2021 - 2021) -> Highlanders (2021 - 2021) -> Tasman Mako (2021 - 2021) -> Highlanders (2022 - 2022) -> Tasman Mako (2022 - 2022) -> Highlanders (2022 - 2023) -> Zebre Parma (2023 - 2025) -> Dragons RFC (2025 - 2026),Tonga,Tonga,https://all.rugby/player/fetuli-moe-ata-paea,Tasman Mako (2018 - 2019) -> Crusaders (2019 - 2019) -> Tasman Mako (2019 - 2019) -> Crusaders (2020 - 2020) -> Tasman Mako (2020 - 2020) -> Highlanders (2020 - 2020) -> Tasman Mako (2020 - 2020) -> Highlanders (2021 - 2021) -> Tasman Mako (2021 - 2021) -> Highlanders (2021 - 2021) -> Tasman Mako (2021 - 2021) -> Highlanders (2022 - 2022) -> Tasman Mako (2022 - 2022) -> Highlanders (2022 - 2023) -> Zebre Parma (2023 - 2025) -> Dragons RFC (2025 - 2026)
Harri ACKERMAN,Harri ACKERMAN,CTB,Dragons,185,93,2004..,,,,,A,https://all.rugby/player/harri-ackerman,Dragons RFC (2022 - 2026),,,https://all.rugby/player/harri-ackerman,Dragons RFC (2022 - 2026)
Joe WESTWOOD,Joe WESTWOOD,CTB,Dragons,193,106,2003.07.10,,,,,A,https://all.rugby/player/joe-westwood,Dragons RFC (2020 - 2026),,,https://all.rugby/player/joe-westwood,Dragons RFC (2020 - 2026)
Ewan ROSSER,Ewan ROSSER,Winger,Dragons,182,88,2000.12.16,,,,,A,https://all.rugby/player/ewan-rosser,Dragons RFC (2019 - 2026),,,https://all.rugby/player/ewan-rosser,Dragons RFC (2019 - 2026)
Fine INISI,Fine INISI,Winger,Dragons,187,98,1998.05.19,,,,,A,https://all.rugby/player/fine-inisi,North Harbour (2018 - 2021) -> Moana Pasifika (2021 - 2021) -> North Harbour (2021 - 2021) -> Moana Pasifika (2022 - 2022) -> North Harbour (2022 - 2022) -> Moana Pasifika (2022 - 2023) -> North Harbour (2023 - 2023) -> Moana Pasifika (2024 - 2024) -> North Harbour (2024 - 2024) -> Moana Pasifika (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/fine-inisi,North Harbour (2018 - 2021) -> Moana Pasifika (2021 - 2021) -> North Harbour (2021 - 2021) -> Moana Pasifika (2022 - 2022) -> North Harbour (2022 - 2022) -> Moana Pasifika (2022 - 2023) -> North Harbour (2023 - 2023) -> Moana Pasifika (2024 - 2024) -> North Harbour (2024 - 2024) -> Moana Pasifika (2024 - 2025) -> Dragons RFC (2025 - 2026)
Jared ROSSER,Jared ROSSER,Winger,Dragons,183,99,1997.12.31,,,,,A,https://all.rugby/player/jared-rosser,Dragons RFC (2017 - 2026),,,https://all.rugby/player/jared-rosser,Dragons RFC (2017 - 2026)
Rio DYER,Rio DYER,Winger,Dragons,185,84,1999.12.21,,,,,A,https://all.rugby/player/rio-dyer,Dragons RFC (2017 - 2026),Wales,Wales,https://all.rugby/player/rio-dyer,Dragons RFC (2017 - 2026)
David RICHARDS,David RICHARDS,FB,Dragons,182,93,1999.07.30,,,,,A,https://all.rugby/player/david-richards,Dragons RFC (2018 - 2024) -> Newport RFC (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/david-richards,Dragons RFC (2018 - 2024) -> Newport RFC (2024 - 2025) -> Dragons RFC (2025 - 2026)
Huw ANDERSON,Huw ANDERSON,FB,Dragons,178,85,2004..,,,,,A,https://all.rugby/player/huw-anderson,Dragons RFC (2022 - 2026),,,https://all.rugby/player/huw-anderson,Dragons RFC (2022 - 2026)
Codi PURNELL,Codi PURNELL,PR,Dragons,190,140,,,,,,A,https://all.rugby/player/codi-purnell,Bath Rugby (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/codi-purnell,Bath Rugby (2024 - 2025) -> Dragons RFC (2025 - 2026)
George TUCKLEY,George TUCKLEY,PR,Dragons,183,114,2006..,,,,,A,https://all.rugby/player/george-tuckley,Dragons RFC (2023 - 2026),,,https://all.rugby/player/george-tuckley,Dragons RFC (2023 - 2026)
Jordan MORRIS,Jordan MORRIS,PR,Dragons,185,109,2004.02.22,,,,,A,https://all.rugby/player/jordan-morris,Dragons RFC (2023 - 2026),,,https://all.rugby/player/jordan-morris,Dragons RFC (2023 - 2026)
Owain JAMES,Owain JAMES,PR,Dragons,188,125,2005..,,,,,A,https://all.rugby/player/owain-james-18238,Cardiff Rugby (2023 - 2024) -> Dragons RFC (2024 - 2026),,,https://all.rugby/player/owain-james-18238,Cardiff Rugby (2023 - 2024) -> Dragons RFC (2024 - 2026)
James TALAMAI,James TALAMAI,HO,Dragons,185,108,2007..,,,,,A,https://all.rugby/player/james-talamai,Saracens (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/james-talamai,Saracens (2024 - 2025) -> Dragons RFC (2025 - 2026)
Nick THOMAS,Nick THOMAS,LO,Dragons,198,113,2005..,,,,,A,https://all.rugby/player/nick-thomas,Dragons RFC (2023 - 2026),,,https://all.rugby/player/nick-thomas,Dragons RFC (2023 - 2026)
Cerrig SMITH,Cerrig SMITH,Back row,Dragons,188,113,,,,,,A,https://all.rugby/player/cerrig-smith,Dragons RFC (2025 - 2026),,,https://all.rugby/player/cerrig-smith,Dragons RFC (2025 - 2026)
Evan MINTO,Evan MINTO,Back row,Dragons,186,102,2006..,,,,,A,https://all.rugby/player/evan-minto,Dragons RFC (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Dragons RFC (2025 - 2025) -> Hartpury RFC (2025 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/evan-minto,Dragons RFC (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Dragons RFC (2025 - 2025) -> Hartpury RFC (2025 - 2025) -> Dragons RFC (2025 - 2026)
Harry BEDDALL,Harry BEDDALL,Back row,Dragons,178,94,2005..,,,,,A,https://all.rugby/player/harry-beddall,Leicester Tigers (2022 - 2023) -> Hartpury RFC (2023 - 2023) -> Leicester Tigers (2023 - 2023) -> Hartpury RFC (2024 - 2024) -> Leicester Tigers (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Leicester Tigers (2025 - 2025) -> Hartpury RFC (2025 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/harry-beddall,Leicester Tigers (2022 - 2023) -> Hartpury RFC (2023 - 2023) -> Leicester Tigers (2023 - 2023) -> Hartpury RFC (2024 - 2024) -> Leicester Tigers (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Leicester Tigers (2025 - 2025) -> Hartpury RFC (2025 - 2025) -> Dragons RFC (2025 - 2026)
Luke DANIEL,Luke DANIEL,Back row,Dragons,186,88,,,,,,A,https://all.rugby/player/luke-daniel,Dragons RFC (2025 - 2026),,,https://all.rugby/player/luke-daniel,Dragons RFC (2025 - 2026)
Owen CONQUER,Owen CONQUER,Back row,Dragons,191,114,2004..,,,,,A,https://all.rugby/player/owen-conquer,Ebbw Vale RFC (2023 - 2024) -> Dragons RFC (2024 - 2026),,,https://all.rugby/player/owen-conquer,Ebbw Vale RFC (2023 - 2024) -> Dragons RFC (2024 - 2026)
